state,year,population,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
New Jersey,2016,8944469,25,1254,1279,0,3,3
New Jersey,2015,8958013,24,1246,1270,0,5,5
New Jersey,2014,8938175,28,1307,1335,0,7,7
New Jersey,2013,8899339,26,1365,1391,0,8,8
New Jersey,2012,8864590,31,1435,1466,1,6,7
New Jersey,2011,8821155,37,1483,1520,1,6,7
New Jersey,2010,8801624,0,0,0,0,18,18
New Jersey,2009,8707740,NA,NA,NA,0,21,21
New Jersey,2008,8682661,NA,NA,NA,0,19,19
New Jersey,2007,8685920,NA,NA,NA,0,21,21
New Jersey,2006,8724560,NA,NA,NA,0,17,17
New Jersey,2005,8524868,NA,NA,NA,1,27,28
New Jersey,2004,8503294,NA,NA,NA,1,20,21
New Jersey,2003,8444076,NA,NA,NA,0,11,11
New Jersey,2002,8395357,NA,NA,NA,0,18,18
New Jersey,2001,8289599,NA,NA,NA,0,28,28
New Jersey,2000,8416753,NA,NA,NA,1,19,20
New Jersey,1999,8344977.5,NA,NA,NA,NA,NA,NA
New Jersey,1998,8273202,NA,NA,NA,NA,NA,NA
