state,year,population,population_adult,population_adult_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
State Prison Total,2016,323127515,249576134,203914570,88944,1139880,5953,88211,94164,82991,1051669,1134660,1417,11387,12804,83375,1064268,1147643
State Prison Total,2015,321418821,247876467,203658037,89107,1154413,5999,85339,91338,83108,1069074,1152182,1443,10932,12375,83602,1078763,1162365
State Prison Total,2014,318857056,245365242,202656261,90190,1169969,5593,86113,91706,84597,1083856,1168453,1489,11381,12870,85066,1095388,1180454
State Prison Total,2013,316128839,242627222,201472079,88903,1185812,5205,86999,92204,83698,1098813,1182511,1483,11130,12613,83782,1100800,1184582
State Prison Total,2012,313914040,240281843,200704482,86394,1180604,6447,90327,96774,79947,1090277,1170224,1475,10915,12390,79994,1090884,1170878
State Prison Total,2011,311591919,237741224,199183795,89116,1201096,6297,86129,92426,82819,1114967,1197786,1418,10728,12146,82916,1115597,1198513
State Prison Total,2010,309349689,235217323,197483605,91521,1222924,6820,87295,94115,84701,1135629,1220330,1380,11041,12421,85218,1137490,1222708
State Prison Total,2009,307006556,232534305,195670932,92066,1227497,7258,87988,95246,84808,1139509,1224317,1408,11112,12520,85377,1144395,1229772
State Prison Total,2008,304059728,230169098,194129070,93949,1230590,7544,88776,96320,86405,1141814,1228219,1534,11741,13275,86942,1153442,1240384
State Prison Total,2007,301621159,227708235,192389832,93597,1222508,7265,85575,92840,86332,1136933,1223265,1722,12764,14486,86897,1148794,1235691
State Prison Total,2006,299398485,225613367,190809190,92094,1205442,6708,79263,85971,85386,1126179,1211565,1988,13610,15598,85863,1137956,1223819
State Prison Total,2005,288398819,215251252,182729336,88258,1172813,7004,73383,80387,81254,1099430,1180684,1849,12535,14384,83260,1115445,1198705
State Prison Total,2004,285674993,212798888,180679298,86132,1158084,5652,68208,73860,80480,1089876,1170356,1675,12002,13677,82153,1103980,1186133
State Prison Total,2003,283051379,210291625,178569728,82688,1143283,5420,68422,73842,77268,1074861,1152129,1581,11355,12936,78950,1088915,1167865
State Prison Total,2002,280717370,208144701,176648656,80144,1129001,5966,67672,73638,74178,1061329,1135507,1434,10897,12331,75620,1078362,1153982
State Prison Total,2001,277075792,204943608,173760985,75764,1104190,5970,67715,73685,69794,1036475,1106269,1409,11117,12526,71335,1054622,1125957
State Prison Total,2000,273631565,201524907,170480774,76961,1100279,7351,68704,76055,69610,1031575,1101185,1450,11638,13088,71745,1049581,1121326
State Prison Total,1999,271079172,199841353.80000004,169008280.3,74025,1081853,5519,59613,65132,68506,1022240,1090746,1441,10956,12397,70704,1041355,1112059
State Prison Total,1998,268526778,198157800.60000002,167535786.6,NA,NA,NA,NA,NA,NA,NA,NA,1464,10110,11574,69937,1041990,1111927
State Prison Total,1997,265974383,196474247.40000004,166063292.9,NA,NA,NA,NA,NA,NA,NA,NA,1495,10525,12020,66522,1008287,1074809
State Prison Total,1996,263421989,194790694.20000002,164590799.2,NA,NA,NA,NA,NA,NA,NA,NA,1504,10417,11921,63460,969216,1032676
State Prison Total,1995,260869594,193107141.00000003,163118305.5,NA,NA,NA,NA,NA,NA,NA,NA,1525,10717,12242,57830,931174,989004
State Prison Total,1994,258317204,191423587.8,161645811.8,NA,NA,NA,NA,NA,NA,NA,NA,1559,10424,11983,50988,853659,904647
State Prison Total,1993,255764811,189740034.60000002,160173318.1,NA,NA,NA,NA,NA,NA,NA,NA,1432,9412,10844,45466,783100,828566
State Prison Total,1992,253212415,188056481.4,158700824.4,NA,NA,NA,NA,NA,NA,NA,NA,1501,9629,11130,41546,736949,778495
State Prison Total,1991,250660020,186372928.20000002,157228330.7,NA,NA,NA,NA,NA,NA,NA,NA,1280,9089,10369,39928,688677,728605
State Prison Total,1990,248107628,184689375,155755837,NA,NA,NA,NA,NA,NA,NA,NA,1312,8747,10059,37135,647409,684544
State Prison Total,1989,245983103,182464019.5,154062039.29999998,NA,NA,NA,NA,NA,NA,NA,NA,1293,8743,10036,34561,595434,629995
State Prison Total,1988,243858581,180238664,152368241.6,NA,NA,NA,NA,NA,NA,NA,NA,1147,8296,9443,28270,534335,562605
