state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
New Mexico,1978,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,67,1526,1593
New Mexico,1979,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,47,1509,1556
New Mexico,1980,NA,NA,NA,1,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,57,1222,1279
New Mexico,1981,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,90,1407,1497
New Mexico,1982,NA,NA,NA,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,83,1635,1718
New Mexico,1983,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,1906,1977
New Mexico,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,2044,2129
New Mexico,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,2187,2313
New Mexico,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,2273,2416
New Mexico,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,2533,2670
New Mexico,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2675,2825
New Mexico,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,164,2994,3158
New Mexico,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,2994,3187
New Mexico,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,2959,3119
New Mexico,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,3087,3271
New Mexico,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206,3292,3498
New Mexico,1994,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,191,3521,3712
New Mexico,1995,NA,NA,NA,0,369,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,278,3800,4078
New Mexico,1996,NA,NA,NA,0,307,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,378,4346,4724
New Mexico,1997,NA,NA,NA,0,557,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,374,4314,4688
New Mexico,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,450,4628,5078
New Mexico,1999,0,153,153,NA,0,NA,306,306,1567,1873,1672,0,105,105,1978,63,3133,3196,0,0,0,369,4805,5174
New Mexico,2e3,0,0,0,NA,NA,NA,511,511,1621,2132,1621,0,0,0,2132,0,3210,3210,NA,NA,NA,511,4831,5342
New Mexico,2001,0,0,0,NA,NA,NA,517,517,1967,2484,1967,0,0,0,2484,0,3184,3184,0,24,24,517,5151,5668
New Mexico,2002,0,0,0,NA,NA,NA,516,516,2174,2690,2174,0,0,0,2690,2,3299,3301,18,45,63,518,5473,5991
New Mexico,2003,0,0,0,NA,NA,NA,574,574,2177,2751,2177,0,0,0,2751,2,3470,3472,15,30,45,576,5647,6223
New Mexico,2004,0,0,0,NA,NA,NA,582,582,2104,2686,2104,0,0,0,2686,-1,3694,3693,12,42,54,581,5798,6379
