state,year,population,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Wyoming,2016,585501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,2015,586107,0,7,7,0,5,5,0,0,0,0,12,12
Wyoming,2014,584153,0,5,5,0,1,1,0,0,0,0,6,6
Wyoming,2013,582658,0,3,3,0,0,0,0,0,0,0,3,3
Wyoming,2012,576412,0,2,2,0,0,0,0,0,0,0,2,2
Wyoming,2011,568158,0,6,6,0,0,0,0,0,0,0,6,6
Wyoming,2010,564460,1,4,5,0,0,0,0,0,0,1,4,5
Wyoming,2009,544270,1,0,1,0,8,8,0,0,0,1,8,9
Wyoming,2008,532668,0,0,0,1,4,5,0,0,0,1,4,5
Wyoming,2007,522830,2,4,6,1,1,2,0,0,0,3,5,8
Wyoming,2006,515004,2,5,7,0,0,0,0,0,0,2,5,7
Wyoming,2005,494170,1,6,7,0,0,0,0,0,0,1,6,7
Wyoming,2004,492534,2,5,7,0,0,0,0,0,0,2,5,7
Wyoming,2003,487341,2,5,7,0,0,0,0,0,0,2,5,7
Wyoming,2002,484833,2,5,7,0,0,0,0,0,0,2,5,7
Wyoming,2001,480332,0,4,4,0,0,0,0,0,0,0,4,4
Wyoming,2e3,493849,0,4,4,0,2,2,0,0,0,0,6,6
Wyoming,1999,489783,0,4,4,0,4,4,0,0,0,0,8,8
Wyoming,1998,485717,0,1,1,0,1,1,0,1,1,0,3,3
Wyoming,1997,481651,NA,NA,2,NA,NA,0,NA,NA,0,0,2,2
Wyoming,1996,477585,NA,NA,4,NA,NA,0,NA,NA,0,1,3,4
Wyoming,1995,473519,NA,NA,1,NA,NA,0,NA,NA,4,1,4,5
Wyoming,1994,469453,NA,NA,6,NA,NA,0,NA,NA,0,0,6,6
Wyoming,1993,465387,NA,NA,2,NA,NA,4,NA,NA,0,0,6,6
Wyoming,1992,461321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Wyoming,1991,457255,NA,NA,0,NA,NA,6,NA,NA,1,NA,NA,7
