state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Federal Prison Total,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997,NA,NA,26285
Federal Prison Total,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,NA,NA,23356
Federal Prison Total,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2735,NA,NA,23779
Federal Prison Total,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3209,NA,NA,26778
Federal Prison Total,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3149,NA,NA,27311
Federal Prison Total,1983,NA,NA,NA,NA,NA,NA,NA,NA,70,2768,2838,1587,27358,28945
Federal Prison Total,1984,NA,NA,NA,NA,NA,NA,NA,NA,111,3846,3957,1687,29188,30875
Federal Prison Total,1985,NA,NA,NA,NA,NA,NA,NA,NA,116,4552,4668,2137,33644,35781
Federal Prison Total,1986,NA,NA,NA,NA,NA,NA,NA,NA,116,4569,4685,2137,41575,43712
Federal Prison Total,1987,NA,NA,NA,NA,NA,NA,NA,NA,161,4926,5087,2660,39818,42478
Federal Prison Total,1988,NA,NA,NA,NA,NA,NA,NA,NA,246,4242,4488,2870,41335,44205
Federal Prison Total,1989,NA,NA,NA,NA,NA,NA,NA,NA,347,6778,7125,3632,49755,53387
Federal Prison Total,1990,NA,NA,NA,NA,NA,NA,NA,NA,381,8092,8473,4170,54668,58838
Federal Prison Total,1991,NA,NA,NA,NA,NA,NA,NA,NA,418,7869,8287,4745,59185,63930
Federal Prison Total,1992,NA,NA,NA,NA,NA,NA,NA,NA,356,7451,7807,5462,66609,72071
Federal Prison Total,1993,NA,NA,NA,NA,NA,NA,NA,NA,381,7796,8177,5823,74992,80815
Federal Prison Total,1994,NA,NA,NA,NA,NA,NA,NA,NA,370,8100,8470,5903,79597,85500
Federal Prison Total,1995,NA,NA,NA,NA,NA,NA,NA,NA,577,9191,9768,6172,83366,89538
Federal Prison Total,1996,NA,NA,NA,NA,NA,NA,NA,NA,612,9650,10262,6549,88539,95088
Federal Prison Total,1997,NA,NA,NA,NA,NA,NA,NA,NA,683,10327,11010,7064,94691,101755
Federal Prison Total,1998,NA,NA,NA,NA,NA,NA,NA,NA,681,11067,11748,7960,102833,110793
Federal Prison Total,1999,8667,117015,0,3828,3828,8667,113187,121854,705,12371,13076,8667,113187,121854
Federal Prison Total,2e3,8684,131380,0,15524,15524,8684,115856,124540,919,13124,14043,8684,115856,124540
Federal Prison Total,2001,9208,140644,0,12736,12736,9208,127908,137116,997,13216,14213,9208,127908,137116
Federal Prison Total,2002,10764,147452,1056,13676,14732,9708,133776,143484,958,13394,14352,9708,133776,143484
Federal Prison Total,2003,11238,156906,887,15394,16281,10351,141512,151863,948,14034,14982,10351,141512,151863
Federal Prison Total,2004,11785,165815,1006,17703,18709,10779,148112,158891,1083,13786,14869,10779,148112,158891
Federal Prison Total,2005,12224,174140,1236,25810,27046,10988,148330,159318,950,14252,15202,10988,148330,159318
Federal Prison Total,2006,12723,178121,1134,26592,27726,11589,151529,163118,828,12274,13102,11589,151529,163118
Federal Prison Total,2007,13042,184243,1270,30040,31310,11772,154203,165975,777,13152,13929,11772,154203,165975
Federal Prison Total,2008,12939,185475,1296,31866,33162,11643,153609,165252,731,11756,12487,11643,153609,165252
Federal Prison Total,2009,13319,191768,1429,32658,34087,11890,159110,171e3,756,12072,12828,11890,159110,171e3
Federal Prison Total,2010,13325,193643,1564,32266,33830,11761,161377,173138,749,12065,12814,11761,161377,173138
Federal Prison Total,2011,13708,201066,1566,36980,38546,12142,164086,176228,705,11181,11886,12142,164086,176228
Federal Prison Total,2012,13925,202990,1515,38931,40446,12410,164059,176469,768,12369,13137,12410,164059,176469
Federal Prison Total,2013,14056,200933,1697,39462,41159,12359,161471,173830,563,10767,11330,12359,161471,173830
Federal Prison Total,2014,13875,195686,1766,38251,40017,12109,157435,169544,540,9973,10513,12109,157435,169544
Federal Prison Total,2015,12861,182761,1581,33353,34934,11280,149408,160688,544,9326,9870,11280,149408,160688
Federal Prison Total,2016,12614,175697,1718,32441,34159,10896,143256,154152,479,9571,10050,10896,143256,154152
