state,year,population,population_adult,population_adult_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Washington,2016,7288e3,5663243,4662065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington,2015,7170351,5558571,4603853,3,38,41,3,27,30,NA,NA,NA,6,65,71
Washington,2014,7061530,5460989,4551069,NA,NA,NA,2,28,30,5,33,38,7,61,68
Washington,2013,6971406,5378895,4508105,4,37,41,4,33,37,NA,NA,NA,8,70,78
Washington,2012,6897012,5316558,4488323,3,33,36,3,36,39,0,0,0,6,69,75
Washington,2011,6830038,5252763,4455487,2,37,39,3,29,32,0,0,0,5,66,71
Washington,2010,6744496,5162367,4392734,0,11,11,5,59,64,0,0,0,5,70,75
Washington,2009,6664195,5093031,4352845,0,10,10,6,62,68,0,0,0,6,72,78
Washington,2008,6549224,5001714,4279436,NA,NA,NA,NA,NA,68,NA,NA,11,11,68,79
Washington,2007,6468424,4930120,4231658,0,0,0,11,58,69,4,20,24,15,78,93
Washington,2006,6395798,4859395,4171816,3,0,3,6,32,38,2,41,43,11,73,84
Washington,2005,6157786,4676603,4030546,1,17,18,5,65,70,1,18,19,7,100,107
Washington,2004,6071325,4581637,3957796,1,17,18,5,60,65,1,18,19,7,95,102
Washington,2003,5988638,4501566,3882202,0,6,6,5,65,70,1,16,17,6,87,93
Washington,2002,5937852,4426673,3825364,1,12,13,9,72,81,0,7,7,10,91,101
Washington,2001,5852281,4331354,3732001,NA,NA,NA,NA,NA,79,NA,NA,9,5,83,88
Washington,2000,5776726,4249005,3667693,2,14,16,6,68,74,0,0,0,8,82,90
Washington,1999,5683250,4183157.099999999,3606559.8000000017,7,61,68,0,7,7,0,0,0,7,68,75
Washington,1998,5589774,4117309.1999999993,3545426.6000000015,1,19,20,8,63,71,NA,NA,NA,9,82,91
Washington,1997,5496297,4051461.2999999993,3484293.4000000013,NA,NA,27,NA,NA,92,NA,NA,NA,10,109,119
Washington,1996,5402821,3985613.3999999994,3423160.200000001,NA,NA,46,NA,NA,32,NA,NA,21,14,85,99
Washington,1995,5309345,3919765.4999999995,3362027.000000001,NA,NA,36,NA,NA,28,NA,NA,28,11,81,92
Washington,1994,5215869,3853917.5999999996,3300893.8000000007,NA,NA,27,NA,NA,28,NA,NA,0,5,50,55
Washington,1993,5122393,3788069.6999999997,3239760.6000000006,NA,NA,38,NA,NA,12,NA,NA,13,2,61,63
Washington,1992,5028916,3722221.8,3178627.4000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
Washington,1991,4935440,3656373.9,3117494.2,NA,NA,32,NA,NA,10,NA,NA,0,NA,NA,42
