state,year,population,population_adult,population_adult_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Illinois,2016,12801539,9881135,8142022,2612,41004,0,0,0,2612,41004,43616,0,0,0,2612,41004,43616
Illinois,2015,12859995,9904659,8209729,2675,43565,0,0,0,2675,43565,46240,0,0,0,2675,43565,46240
Illinois,2014,12880580,9899818,8250437,2888,45390,0,0,0,2888,45390,48278,0,0,0,2888,45390,48278
Illinois,2013,12882135,9861196,8251659,2916,45737,0,0,0,2916,45737,48653,0,0,0,2916,45737,48653
Illinois,2012,12875255,9815754,8253846,2749,46599,0,0,0,2749,46599,49348,0,0,0,2749,46599,49348
Illinois,2011,12869259,9776465,8247105,2865,45562,0,0,0,2865,45562,48427,0,0,0,2865,45562,48427
Illinois,2010,12843166,9719409,8204134,2922,45496,0,0,0,2922,45496,48418,0,0,0,2922,45496,48418
Illinois,2009,12910409,9740592,8252433,2590,42571,0,0,0,2590,42571,45161,0,0,0,2590,42571,45161
Illinois,2008,12901564,9721792,8252264,2721,42753,0,0,0,2721,42753,45474,0,0,0,2721,42753,45474
Illinois,2007,12852548,9649702,8195532,2824,42391,0,0,0,2824,42391,45215,0,0,0,2824,42391,45215
Illinois,2006,12831970,9605280,8177418,2720,42386,0,0,0,2720,42386,45106,NA,NA,NA,2720,42386,45106
Illinois,2005,12441864,9203751,7858352,2725,42194,0,0,0,2725,42194,44919,0,0,0,2725,42194,44919
Illinois,2004,12368348,9145046,7802115,2750,41304,0,0,0,2750,41304,44054,0,0,0,2750,41304,44054
Illinois,2003,12338235,9106372,7784845,2700,40718,0,0,0,2700,40718,43418,0,0,0,2700,40718,43418
Illinois,2002,12307e3,9047270,7728908,2520,40173,0,0,0,2520,40173,42693,0,0,0,2520,40173,42693
Illinois,2001,12174337,9052944,7757582,2747,41601,0,0,0,2747,41601,44348,0,0,0,2747,41601,44348
Illinois,2000,12123016,8875143,7542703,2849,42432,0,0,0,2849,42432,45281,0,0,0,2849,42432,45281
Illinois,1999,12050094,8833346.700000007,7500989.100000003,2802,41858,0,0,0,2802,41858,44660,0,0,0,2802,41858,44660
Illinois,1998,11977172,8791550.400000006,7459275.200000003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2646,40405,43051
Illinois,1997,11904250,8749754.100000005,7417561.300000003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2430,38358,40788
Illinois,1996,11831328,8707957.800000004,7375847.400000002,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2249,36603,38852
Illinois,1995,11758406,8666161.500000004,7334133.500000002,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2196,35462,37658
Illinois,1994,11685484,8624365.200000003,7292419.6000000015,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1813,34718,36531
Illinois,1993,11612562,8582568.900000002,7250705.700000001,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1688,32807,34495
Illinois,1992,11539640,8540772.600000001,7208991.800000001,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1456,30184,31640
Illinois,1991,11466718,8498976.3,7167277.9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1257,27858,29115
Illinois,1990,11393796,8457180,7125564,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1183,26333,27516
Illinois,1989,11399822,8427712,7113659.600000003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1019,23693,24712
Illinois,1988,11405849,8398244,7101755.200000003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,899,20182,21081
Illinois,1987,11411875,8368776,7089850.800000003,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,779,19071,19850
Illinois,1986,11417902,8339308,7077946.400000002,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,653,18692,19345
Illinois,1985,11423928,8309840,7066042.000000002,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,653,17626,18279
Illinois,1984,11429954,8280372,7054137.6000000015,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,598,16314,16912
Illinois,1983,11435981,8250904,7042233.200000001,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,538,14899,15437
Illinois,1982,11442007,8221436,7030328.800000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,13895
Illinois,1981,11448034,8191968,7018424.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,13994
Illinois,1980,11454060,8162500,7006520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,11497
Illinois,1979,11417344,8073890,6930888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,11245
Illinois,1978,11380628,7985280,6855256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,10587
