state,year,population,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Arizona,2016,6931071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2015,6828065,17,188,205,0,17,17,0,0,0,17,205,222
Arizona,2014,6731484,21,174,195,0,20,20,0,0,0,21,194,215
Arizona,2013,6626624,13,189,202,10,26,36,0,0,0,23,215,238
Arizona,2012,6553255,1,89,90,18,9,27,0,64,64,19,162,181
Arizona,2011,6482505,NA,NA,NA,17,148,165,NA,NA,NA,17,148,165
Arizona,2010,6413737,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,154,164
Arizona,2009,6595778,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,135,154
Arizona,2008,6500180,19,135,154,1,24,25,0,0,0,20,159,179
Arizona,2007,6338755,14,164,178,0,0,0,0,0,0,14,164,178
Arizona,2006,6166318,13,140,153,1,15,16,0,0,0,14,155,169
Arizona,2005,5806266,14,127,141,0,11,11,0,0,0,14,138,152
Arizona,2004,5638345,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,145,155
Arizona,2003,5490147,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,119,123
Arizona,2002,5349497,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,117,130
Arizona,2001,5183424,15,81,96,2,13,15,1,10,11,18,104,122
Arizona,2000,5133711,NA,NA,NA,NA,NA,10,NA,NA,100,NA,NA,110
Arizona,1999,4985624.800000002,NA,NA,NA,5,58,63,6,75,81,11,133,144
Arizona,1998,4837538.6000000015,NA,NA,NA,4,48,52,5,61,66,9,109,118
Arizona,1997,4689452.400000001,NA,NA,59,NA,NA,46,NA,NA,NA,NA,NA,105
Arizona,1996,4541366.200000001,NA,NA,171,NA,NA,34,NA,NA,NA,5,200,205
Arizona,1995,4393280.000000001,NA,NA,125,NA,NA,15,NA,NA,NA,12,128,140
Arizona,1994,4245193.800000001,NA,NA,120,NA,NA,23,NA,NA,NA,12,131,143
Arizona,1993,4097107.6000000006,NA,NA,80,NA,NA,9,NA,NA,NA,4,85,89
Arizona,1992,3949021.4000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
Arizona,1991,3800935.2,NA,NA,74,NA,NA,10,NA,NA,0,NA,NA,84
