state,year,population,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Arkansas,2016,2988248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arkansas,2015,2978204,5,81,86,1,41,42,0,0,0,6,122,128
Arkansas,2014,2966369,3,79,82,2,36,38,0,0,0,5,115,120
Arkansas,2013,2959373,10,71,81,3,31,34,0,0,0,13,102,115
Arkansas,2012,2949131,5,62,67,3,35,38,NA,NA,NA,8,97,105
Arkansas,2011,2937979,2,60,62,3,45,48,0,0,0,5,105,110
Arkansas,2010,2921606,4,80,84,3,41,44,0,0,0,7,121,128
Arkansas,2009,2889450,6,60,66,5,41,46,0,0,0,11,101,112
Arkansas,2008,2855390,9,69,78,3,37,40,0,0,0,12,106,118
Arkansas,2007,2834797,NA,NA,80,NA,NA,41,NA,NA,NA,11,110,121
Arkansas,2006,2810872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
Arkansas,2005,2694665,9,61,70,0,24,24,0,0,0,9,85,94
Arkansas,2004,2668372,5,65,70,0,13,13,1,18,19,6,96,102
Arkansas,2003,2650703,8,48,56,2,21,23,2,13,15,12,82,94
Arkansas,2002,2638797,5,54,59,3,17,20,3,18,21,11,89,100
Arkansas,2001,2618888,5,47,52,3,20,23,1,32,33,9,99,108
Arkansas,2000,2672286,3,49,52,2,26,28,2,19,21,7,94,101
Arkansas,1999,2639477.900000001,1,54,55,1,22,23,0,21,21,2,97,99
Arkansas,1998,2606669.8000000007,0,40,40,0,19,19,0,35,35,0,94,94
Arkansas,1997,2573861.7000000007,NA,NA,46,NA,NA,14,NA,NA,26,5,81,86
Arkansas,1996,2541053.6000000006,NA,NA,20,NA,NA,20,NA,NA,37,5,72,77
Arkansas,1995,2508245.5000000005,NA,NA,40,NA,NA,23,NA,NA,20,4,79,83
Arkansas,1994,2475437.4000000004,NA,NA,37,NA,NA,29,NA,NA,15,2,79,81
Arkansas,1993,2442629.3000000003,NA,NA,17,NA,NA,29,NA,NA,34,3,77,80
Arkansas,1992,2409821.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
Arkansas,1991,2377013.1,NA,NA,59,NA,NA,4,NA,NA,5,NA,NA,68
