state,year,population,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
US Prison Total,2016,323127515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2015,321418821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2014,318857056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2013,316128839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2012,313914040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2011,311591919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2010,309349689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2009,307006556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2008,304059728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2007,301621159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2006,299398485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2005,288398819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2004,285674993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2003,283051379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2002,280717370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2001,277075792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,2000,281421906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1999,278090478.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1998,274759050.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1997,271427622.59999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1996,268096194.79999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1995,264764766.99999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1994,261433339.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1993,258101911.39999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1992,254770483.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US Prison Total,1991,251439055.79999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
