state,year,population,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
State Prison Total,2016,323127515,48704,593327,642031,81865,999003,1080868,45233,545016,590249
State Prison Total,2015,321418821,47957,612928,660885,77978,997380,1075358,45153,547058,592211
State Prison Total,2014,318857056,48241,634753,682994,75975,1000400,1076375,46091,579332,625423
State Prison Total,2013,316128839,45573,600635,646208,74046,975544,1049590,48763,620777,669540
State Prison Total,2012,313914040,45430,554022,599452,70168,910661,980829,49571,595548,645119
State Prison Total,2011,311591919,51057,609789,660846,77530,975291,1052821,47240,578210,625450
State Prison Total,2010,309349689,47716,591865,639581,76277,979343,1055620,49987,618153,668140
State Prison Total,2009,307006556,47660,628736,676396,78268,1053565,1131833,42743,531466,574209
State Prison Total,2008,304059728,61316,640148,701464,79077,1039683,1118760,44596,559902,604498
State Prison Total,2007,301621159,49379,650613,699992,77151,1074368,1151519,41147,537234,578381
State Prison Total,2006,299398485,77866,622234,700100,74173,1054057,1128230,39192,499326,538518
State Prison Total,2005,288398819,47180,609936,657116,79466,982429,1061895,40785,542392,583177
State Prison Total,2004,285674993,47462,593871,641333,72779,998234,1071013,45516,578109,623625
State Prison Total,2003,283051379,42192,541983,584175,67451,953549,1021e3,43171,552082,595253
State Prison Total,2002,280717370,44359,554778,599137,64347,931108,995455,37630,479417,517047
State Prison Total,2001,277075792,42572,556385,598957,59227,820092,879319,38225,514588,552813
State Prison Total,2000,281421906,42906,588161,631067,63957,909395,973352,38762,572217,610979
State Prison Total,1999,278090478.2,40196,575244,615440,59756,886275,946031,35981,543730,579711
State Prison Total,1998,274759050.4,NA,NA,640495,NA,NA,789126,NA,NA,594747
State Prison Total,1997,271427622.59999996,NA,NA,623823,NA,NA,702818,NA,NA,599787
State Prison Total,1996,268096194.79999998,NA,NA,594702,NA,NA,704703,NA,NA,561213
State Prison Total,1995,264764766.99999997,NA,NA,606764,NA,NA,648246,NA,NA,579437
State Prison Total,1994,261433339.2,NA,NA,531515,NA,NA,613033,NA,NA,498614
State Prison Total,1993,258101911.39999998,NA,NA,390246,NA,NA,535100,NA,NA,462930
State Prison Total,1992,254770483.6,NA,NA,380114,NA,NA,504230,NA,NA,444516
State Prison Total,1991,251439055.79999998,NA,NA,429204,NA,NA,484149,NA,NA,415191
State Prison Total,1990,248107628,NA,NA,387634,NA,NA,442489,NA,NA,378929
State Prison Total,1989,245983105.19999996,NA,NA,353857,NA,NA,500682,NA,NA,428391
State Prison Total,1988,243858582.39999998,NA,NA,338457,NA,NA,438e3,NA,NA,323261
State Prison Total,1987,241734059.59999996,NA,NA,301393,NA,NA,436926,NA,NA,253765
State Prison Total,1986,239609536.79999998,NA,NA,289486,NA,NA,380684,NA,NA,301954
State Prison Total,1985,237485013.99999997,NA,NA,268728,NA,NA,378108,NA,NA,285383
State Prison Total,1984,235360491.2,NA,NA,239215,NA,NA,339651,NA,NA,195454
State Prison Total,1983,233235968.39999998,NA,NA,243604,NA,NA,351835,NA,NA,227293
