state,year,population,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
Indiana,2016,6633053,2198,26646,69,3858,3927,2129,22788,24917,0,16,16,2137,23006,25143
Indiana,2015,6619680,2350,27634,85,4119,4204,2265,23515,25780,0,21,21,2364,24222,26586
Indiana,2014,6596855,2692,25167,119,4301,4420,2573,20866,23439,0,10,10,2700,25373,28073
Indiana,2013,6570902,2744,30189,239,8814,9053,2505,21375,23880,0,8,8,2627,25868,28495
Indiana,2012,6537334,2502,25532,127,4124,4251,2375,21408,23783,0,8,8,2375,21408,23783
Indiana,2011,6516922,2431,24971,74,2878,2952,2357,22093,24450,1,13,14,2357,22093,24450
Indiana,2010,6490621,2521,24752,63,2754,2817,2458,21998,24456,1,14,15,2458,21998,24456
Indiana,2009,6423113,2401,24347,63,2416,2479,2338,21931,24269,0,17,17,2338,21931,24269
Indiana,2008,6376792,2386,24006,62,2580,2642,2324,21426,23750,0,17,17,2324,21426,23750
Indiana,2007,6345289,2187,22950,70,1613,1683,2117,21337,23454,0,18,18,2117,21337,23454
Indiana,2006,6313520,2108,22793,40,1250,1290,2068,21543,23611,6,24,30,2068,21543,23611
Indiana,2005,6081212,1841,20919,0,115,115,1841,20804,22645,8,31,39,1841,20804,22645
Indiana,2004,6058172,1765,20219,0,641,641,1765,19578,21343,11,55,66,1765,19578,21343
Indiana,2003,6021480,1649,19696,0,652,652,1649,19044,20693,5,56,61,1649,19044,20693
Indiana,2002,5985228,1505,18844,0,843,843,1505,18001,19506,5,62,67,1505,18001,19506
Indiana,2001,5934871,1419,18227,0,915,915,1419,17312,18731,8,71,79,1419,17312,18731
Indiana,2e3,6081521,1372,18329,0,1754,1754,1372,16575,17947,3,37,40,1372,16575,17947
Indiana,1999,6028201.800000002,1181,16904,0,936,936,1181,15968,17149,0,10,10,1181,15968,17149
Indiana,1998,5974882.6000000015,NA,NA,NA,NA,NA,NA,NA,NA,1,8,9,1150,16455,17605
Indiana,1997,5921563.400000001,NA,NA,NA,NA,NA,NA,NA,NA,2,6,8,1041,15470,16511
Indiana,1996,5868244.200000001,NA,NA,NA,NA,NA,NA,NA,NA,5,5,10,938,14828,15766
Indiana,1995,5814925.000000001,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,892,15233,16125
Indiana,1994,5761605.800000001,NA,NA,NA,NA,NA,NA,NA,NA,2,7,9,826,14188,15014
Indiana,1993,5708286.600000001,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,778,13692,14470
Indiana,1992,5654967.4,NA,NA,NA,NA,NA,NA,NA,NA,1,5,6,738,13207,13945
Indiana,1991,5601648.2,NA,NA,NA,NA,NA,NA,NA,NA,2,8,10,706,12302,13008
Indiana,1990,5548329,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,681,12055,12736
Indiana,1989,5542780.100000003,NA,NA,NA,NA,NA,NA,NA,NA,4,8,12,628,11725,12353
Indiana,1988,5537231.200000003,NA,NA,NA,NA,NA,NA,NA,NA,0,38,38,502,10942,11444
Indiana,1987,5531682.300000003,NA,NA,NA,NA,NA,NA,NA,NA,0,44,44,491,10380,10871
Indiana,1986,5526133.400000002,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,453,9771,10224
Indiana,1985,5520584.500000002,NA,NA,NA,NA,NA,NA,NA,NA,2,30,32,453,9635,10088
Indiana,1984,5515035.6000000015,NA,NA,NA,NA,NA,NA,NA,NA,0,64,64,395,8997,9392
Indiana,1983,5509486.700000001,NA,NA,NA,NA,NA,NA,NA,NA,2,62,64,391,8969,9360
Indiana,1982,5503937.800000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,8827
Indiana,1981,5498388.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,8054
Indiana,1980,5492840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,6709
Indiana,1979,5462216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,5686
Indiana,1978,5431592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,4953
