state,year,population,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Mississippi,2016,2988726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,2015,2992333,0,0,0,2,42,44,12,156,168,14,198,212
Mississippi,2014,2994079,1,18,19,5,52,57,17,175,192,23,245,268
Mississippi,2013,2991207,1,18,19,5,52,57,17,175,192,23,245,268
Mississippi,2012,2984926,7,26,33,8,52,60,25,169,194,40,247,287
Mississippi,2011,2978512,4,75,79,5,48,53,14,109,123,23,232,255
Mississippi,2010,2970036,14,75,89,10,45,55,9,101,110,33,221,254
Mississippi,2009,2951996,5,82,87,5,45,50,16,69,85,26,196,222
Mississippi,2008,2938618,21,113,134,6,42,48,7,57,64,34,212,246
Mississippi,2007,2918785,75,112,187,9,26,35,4,20,24,88,158,246
Mississippi,2006,2910540,46,180,226,0,53,53,0,0,0,46,233,279
Mississippi,2005,2830388,40,174,214,0,46,46,0,42,42,40,262,302
Mississippi,2004,2807064,39,164,203,0,51,51,NA,NA,NA,39,215,254
Mississippi,2003,2783594,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,176,200
Mississippi,2002,2774882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224
Mississippi,2001,2765210,149,25,174,58,2,60,0,0,0,27,207,234
Mississippi,2000,2844004,29,181,210,0,20,20,NA,NA,NA,29,201,230
Mississippi,1999,2815623,10,132,142,1,49,50,NA,NA,NA,11,181,192
Mississippi,1998,2787242,15,119,134,0,38,38,NA,NA,NA,15,157,172
Mississippi,1997,2758861,NA,NA,151,NA,NA,38,NA,NA,NA,18,171,189
Mississippi,1996,2730480,NA,NA,111,NA,NA,24,NA,NA,NA,5,130,135
Mississippi,1995,2702099,NA,NA,110,NA,NA,28,NA,NA,NA,2,136,138
Mississippi,1994,2673718,NA,NA,96,NA,NA,23,NA,NA,NA,4,115,119
Mississippi,1993,2645337,NA,NA,99,NA,NA,19,NA,NA,NA,1,117,118
Mississippi,1992,2616956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,1991,2588575,NA,NA,106,NA,NA,0,NA,NA,0,NA,NA,106
