state,year,population,population_adult,population_adult_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Federal Prison Total,2016,323127515,249576134,203914570,NA,NA,NA,NA,NA,NA,10887,124447,135334
Federal Prison Total,2015,321418821,247876467,203658037,NA,NA,NA,NA,NA,NA,10723,123738,134461
Federal Prison Total,2014,318857056,245365242,202656261,NA,NA,NA,NA,NA,NA,10574,122157,132731
Federal Prison Total,2013,316128839,242627222,201472079,NA,NA,NA,NA,NA,NA,10615,120292,130907
Federal Prison Total,2012,313914040,240281843,200704482,NA,NA,NA,NA,NA,NA,9271,119344,128615
Federal Prison Total,2011,311591919,237741224,199183795,NA,NA,NA,NA,NA,NA,9206,118441,127647
Federal Prison Total,2010,309349689,235217323,197483605,NA,NA,NA,NA,NA,NA,9542,117321,126863
Federal Prison Total,2009,307006556,232534305,195670932,NA,NA,NA,NA,NA,NA,9740,116071,125811
Federal Prison Total,2008,304059728,230169098,194129070,NA,NA,NA,NA,NA,NA,NA,NA,NA
Federal Prison Total,2007,301621159,227708235,192389832,NA,NA,NA,NA,NA,NA,NA,122461,NA
Federal Prison Total,2006,299398485,225613367,190809190,NA,NA,NA,NA,NA,NA,NA,119243,NA
Federal Prison Total,2005,288398819,215251252,182729336,NA,NA,NA,NA,NA,NA,NA,119371,NA
Federal Prison Total,2004,285674993,212798888,180679298,NA,NA,NA,NA,NA,NA,NA,109498,NA
Federal Prison Total,2003,283051379,210291625,178569728,NA,NA,NA,NA,NA,NA,8357,97689,106046
Federal Prison Total,2002,280717370,208144701,176648656,NA,NA,NA,NA,NA,NA,8122,95775,103897
Federal Prison Total,2001,277075792,204943608,173760985,NA,NA,NA,NA,NA,NA,7988,92211,100199
Federal Prison Total,2000,273631565,201524907,170480774,NA,NA,NA,NA,NA,NA,7354,88020,95374
Federal Prison Total,1999,271079172,199841353.80000004,169008280.3,NA,NA,NA,NA,NA,NA,NA,90075,NA
Federal Prison Total,1998,268526778,198157800.60000002,167535786.6,NA,NA,NA,NA,NA,NA,NA,NA,86315
Federal Prison Total,1997,265974383,196474247.40000004,166063292.9,NA,NA,NA,NA,NA,NA,NA,NA,85387
Federal Prison Total,1996,263421989,194790694.20000002,164590799.2,NA,NA,NA,NA,NA,NA,NA,NA,76897
Federal Prison Total,1995,260869594,193107141.00000003,163118305.5,NA,NA,NA,NA,NA,NA,NA,NA,72145
Federal Prison Total,1994,258317204,191423587.8,161645811.8,NA,NA,NA,NA,NA,NA,NA,NA,68221
Federal Prison Total,1993,255764811,189740034.60000002,160173318.1,NA,NA,NA,NA,NA,NA,NA,NA,59849
Federal Prison Total,1992,253212415,188056481.4,158700824.4,NA,NA,NA,NA,NA,NA,NA,NA,52757
Federal Prison Total,1991,250660020,186372928.20000002,157228330.7,NA,NA,NA,NA,NA,NA,NA,NA,43753
Federal Prison Total,1990,248107628,184689375,155755837,NA,NA,43312,NA,NA,NA,NA,NA,NA
Federal Prison Total,1989,245983103,182464019.5,154062039.29999998,NA,NA,NA,NA,NA,NA,NA,NA,32494
Federal Prison Total,1988,243858581,180238664,152368241.6,NA,NA,29112,NA,NA,37469,NA,NA,29112
Federal Prison Total,1987,241734058,178013308.5,150674443.89999998,NA,NA,27854,NA,NA,35276,NA,NA,27854
Federal Prison Total,1986,239609537,175787953,148980646.2,NA,NA,27938,NA,NA,34890,NA,NA,27938
Federal Prison Total,1985,237485012,173562597.5,147286848.5,NA,NA,26131,NA,NA,32585,NA,NA,26131
Federal Prison Total,1984,235360491,171337242,145593050.79999998,NA,NA,24922,NA,NA,31161,NA,NA,24922
Federal Prison Total,1983,233235968,169111886.5,143899253.1,NA,NA,24399,NA,NA,30291,NA,NA,24399
