state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Idaho,2016,NA,NA,NA,805,6200,7005,NA,NA,NA
Idaho,2015,NA,NA,NA,NA,NA,NA,797,6106,6903
Idaho,2014,NA,NA,NA,NA,NA,NA,786,6224,7010
Idaho,2013,786,6224,7010,767,6157,6924,NA,NA,NA
Idaho,2012,786,6656,7442,784,6486,7270,NA,NA,NA
Idaho,2011,673,6355,7028,640,6037,6677,673,6355,7028
Idaho,2010,673,6355,7028,640,6037,6677,673,6355,7028
Idaho,2009,669,6402,7071,635,6082,6717,669,6402,7071
Idaho,2008,629,5905,6534,597,5610,6207,629,5905,6534
Idaho,2007,643,5705,6348,611,5420,6031,643,5705,6348
Idaho,2006,623,5452,6075,592,5179,5771,623,5452,6075
Idaho,2005,700,5145,5845,665,4888,5553,700,5145,5845
Idaho,2004,NA,5939,NA,NA,5902,NA,NA,5939,NA
Idaho,2003,295,4269,4564,471,5073,5544,484,5387,5871
Idaho,2002,295,4269,4564,471,5073,5544,484,5387,5871
Idaho,2001,175,3019,3194,240,3541,3781,253,3727,3980
Idaho,2e3,208,4246,4454,276,4754,5030,291,4937,5228
Idaho,1999,208,2974,3182,291,3665,3956,208,2974,3182
Idaho,1998,NA,NA,3167,NA,NA,3991,NA,NA,3167
Idaho,1997,NA,NA,2483,NA,NA,3437,NA,NA,2483
Idaho,1996,NA,NA,2447,NA,NA,3301,NA,NA,2447
Idaho,1995,NA,NA,2203,NA,NA,2908,NA,NA,NA
Idaho,1994,NA,NA,2222,NA,NA,2519,NA,NA,2222
Idaho,1993,NA,NA,NA,NA,NA,2177,NA,NA,1929
Idaho,1992,NA,NA,NA,NA,NA,2158,NA,NA,2015
Idaho,1991,NA,NA,1831,NA,NA,2086,NA,NA,NA
Idaho,1990,NA,NA,1586,NA,NA,1845,NA,NA,NA
Idaho,1989,NA,NA,1259,NA,NA,1826,NA,NA,1259
Idaho,1988,NA,NA,1163,NA,NA,1406,NA,NA,1163
Idaho,1987,NA,NA,1149,NA,NA,1470,NA,NA,1149
Idaho,1986,NA,NA,1149,NA,NA,1470,NA,NA,1149
Idaho,1985,NA,NA,1022,NA,NA,1315,NA,NA,1315
Idaho,1984,NA,NA,971,NA,NA,1175,NA,NA,NA
Idaho,1983,NA,NA,896,NA,NA,NA,NA,NA,NA
