state,year,population,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Oregon,2016,4093465,0,0,0,1,7,8,333,3136,3469,0,0,0,0,0,0,0,0,0,55,854,909,34,448,482,9,151,160,432,4596,5028,0,0,0
Oregon,2015,4028977,0,0,0,1,7,8,345,3257,3602,0,0,0,0,0,0,0,0,0,57,887,944,35,465,500,9,157,166,447,4773,5220,0,0,0
Oregon,2014,3970239,0,0,0,1,7,8,511,3190,3701,0,0,0,0,0,0,0,0,0,84,869,953,52,456,508,14,154,168,662,4676,5338,0,0,0
Oregon,2013,3930065,0,0,0,2,9,11,543,3280,3823,0,0,0,0,0,0,0,0,0,84,932,1016,58,425,483,10,200,210,697,4846,5543,0,0,0
Oregon,2012,3899353,0,0,0,0,4,4,519,3210,3729,0,0,0,0,0,0,0,0,0,98,890,988,35,420,455,21,183,204,673,4707,5380,0,0,0
Oregon,2011,3871859,0,0,0,0,7,7,471,3221,3692,0,0,0,0,0,0,0,0,0,68,841,909,33,463,496,12,204,216,584,4736,5320,0,0,0
Oregon,2010,3838957,0,0,0,1,8,9,485,3314,3799,0,0,0,0,0,0,0,0,0,70,901,971,30,469,499,15,171,186,601,4863,5464,NA,0,NA
Oregon,2009,3825657,0,0,0,0,8,8,521,3705,4226,0,0,0,0,0,0,0,0,0,79,924,1003,40,428,468,14,239,253,654,5304,5958,0,0,0
Oregon,2008,3790060,0,0,0,1,12,13,477,3226,3703,0,0,0,0,0,0,0,0,0,93,889,982,38,436,474,16,220,236,625,4783,5408,0,0,0
Oregon,2007,3747455,NA,NA,NA,1,11,12,468,3147,3615,15,13,28,0,0,0,0,0,0,72,930,1002,40,424,464,19,203,222,615,4728,5343,NA,NA,NA
Oregon,2006,3700758,NA,NA,NA,0,12,12,470,3227,3697,1,1,2,0,0,0,0,0,0,83,961,1044,26,424,450,16,275,291,596,4900,5496,NA,NA,NA
Oregon,2005,3560922,0,0,0,1,16,17,572,3820,4392,NA,NA,NA,0,0,0,0,0,0,120,1117,1237,37,472,509,17,281,298,747,5706,6453,0,0,0
Oregon,2004,3506284,0,0,0,2,12,14,469,3242,3711,NA,NA,NA,0,0,0,0,0,0,80,891,971,34,385,419,31,246,277,616,4776,5392,0,0,0
Oregon,2003,3488398,0,0,0,0,30,30,411,3122,3533,0,0,0,0,0,0,0,0,0,68,825,893,43,374,417,27,225,252,549,4576,5125,0,0,0
Oregon,2002,3434797,0,0,0,3,24,27,368,3072,3440,0,27,27,0,0,0,0,0,0,83,827,910,50,362,412,15,237,252,519,4549,5068,0,0,0
Oregon,2001,3387279,0,0,0,4,48,52,282,2870,3152,0,0,0,0,0,0,0,0,0,50,777,827,9,254,263,15,216,231,360,4165,4525,0,0,0
Oregon,2000,3424928,0,0,0,5,51,56,203,2610,2813,1,0,1,0,0,0,0,0,0,43,691,734,19,304,323,12,176,188,283,3832,4115,0,0,0
Oregon,1999,3365717.099999999,NA,NA,NA,12,61,73,252,2552,2804,2,0,2,0,0,0,0,0,0,39,681,720,16,270,286,9,194,203,330,3758,4088,NA,NA,NA
Oregon,1998,3306506.1999999993,NA,NA,NA,NA,NA,NA,207,2060,2267,6,65,71,0,0,0,0,4,4,50,814,864,16,387,403,0,28,28,285,3403,3688,NA,NA,NA
Oregon,1997,3247295.2999999993,NA,NA,NA,NA,NA,NA,188,1909,2097,0,0,0,0,0,0,0,0,0,37,615,652,38,385,423,0,30,30,267,2997,3264,NA,NA,NA
Oregon,1996,3188084.3999999994,NA,NA,NA,NA,NA,NA,176,1965,2141,0,0,0,0,0,0,0,0,0,34,748,782,50,637,687,1,26,27,265,3447,3712,NA,NA,NA
Oregon,1995,3128873.4999999995,NA,NA,NA,NA,NA,NA,146,1650,1796,3,30,33,0,0,0,0,0,0,37,701,738,66,920,986,1,18,19,265,3433,3698,NA,NA,NA
Oregon,1994,3069662.5999999996,NA,NA,NA,NA,NA,NA,92,1424,1516,23,109,132,0,0,0,0,0,0,46,669,715,62,590,652,0,10,10,247,2937,3184,NA,NA,NA
Oregon,1993,3010451.6999999997,NA,NA,NA,NA,NA,NA,119,1530,1649,6,25,31,0,0,0,0,0,0,32,662,694,108,1029,1137,0,13,13,276,3323,3599,NA,NA,NA
Oregon,1992,2951240.8,NA,NA,NA,NA,NA,NA,174,1875,2049,2,81,83,0,0,0,0,0,0,35,600,635,165,1511,1676,0,0,0,381,4132,4513,NA,NA,NA
Oregon,1991,2892029.9,NA,NA,NA,NA,NA,NA,324,2984,3308,26,63,89,0,0,0,0,0,0,56,750,806,184,1704,1888,0,0,0,624,5623,6247,NA,NA,NA
Oregon,1990,2832819,NA,NA,NA,NA,NA,NA,305,2645,2950,26,80,106,0,28,28,0,256,256,60,602,662,169,1703,1872,0,0,0,595,5455,6050,NA,NA,NA
Oregon,1989,2813499.099999999,NA,NA,NA,NA,NA,NA,299,2653,2952,0,0,0,0,0,0,0,0,0,68,808,876,68,809,877,0,0,0,649,5180,5829,NA,NA,NA
Oregon,1988,2794179.1999999993,NA,NA,NA,NA,NA,NA,252,2421,2673,0,1,1,0,0,0,0,0,0,43,679,722,44,678,722,0,0,0,585,4889,5474,NA,NA,NA
Oregon,1987,2774859.2999999993,NA,NA,NA,NA,NA,NA,223,2323,2546,4,3,7,0,0,0,0,0,0,16,396,412,74,877,951,0,0,0,479,4477,4956,0,28,28
Oregon,1986,2755539.3999999994,NA,NA,NA,NA,NA,NA,176,2337,2513,1,8,9,0,0,0,0,0,0,22,266,288,62,559,621,0,0,0,373,3739,4112,2,13,15
Oregon,1985,2736219.4999999995,NA,NA,NA,NA,NA,NA,145,1993,2138,0,1,1,0,1,1,0,0,0,9,226,235,12,587,599,0,0,0,255,3456,3711,0,15,15
Oregon,1984,2716899.5999999996,NA,NA,NA,NA,NA,NA,129,1980,2109,3,288,291,0,1,1,1,2,3,21,29,50,10,400,410,0,0,0,227,3290,3517,0,10,10
Oregon,1983,2697579.6999999997,NA,NA,NA,NA,NA,NA,110,1800,1910,3,225,228,0,0,0,0,2,2,7,23,30,27,410,437,0,0,0,182,2804,2986,0,11,11
Oregon,1982,2678259.8,NA,NA,NA,NA,NA,NA,107,1741,1848,0,0,0,0,0,0,2,0,2,3,14,17,18,485,503,0,0,0,166,2747,2913,1,14,15
Oregon,1981,2658939.9,NA,NA,NA,NA,NA,NA,74,1508,1582,0,0,0,0,0,0,0,0,0,8,148,156,15,345,360,0,3,3,120,2485,2605,0,12,12
Oregon,1980,2639620,NA,NA,NA,NA,NA,NA,64,1519,1583,0,0,0,0,0,0,0,0,0,6,117,123,19,437,456,1,0,1,103,2360,2463,0,0,0
