state,year,population,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
Delaware,2016,952065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,2015,945934,2,64,66,0,0,0,0,0,0,2,64,66
Delaware,2014,935614,4,71,75,NA,NA,NA,NA,NA,NA,4,71,75
Delaware,2013,925749,7,27,34,NA,NA,NA,NA,NA,NA,7,27,34
Delaware,2012,917092,7,36,43,0,22,22,0,16,16,7,74,81
Delaware,2011,907135,9,53,62,0,14,14,NA,NA,NA,9,67,76
Delaware,2010,899769,NA,NA,NA,0,10,10,8,55,63,8,65,73
Delaware,2009,885122,6,26,32,0,13,13,2,24,26,8,63,71
Delaware,2008,873092,15,70,85,9,38,47,NA,NA,NA,24,108,132
Delaware,2007,864764,NA,NA,NA,2,28,30,9,80,89,11,108,119
Delaware,2006,853476,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,91,108
Delaware,2005,825598,NA,NA,NA,11,63,74,10,40,50,21,103,124
Delaware,2004,805421,11,65,76,6,55,61,2,10,12,19,130,149
Delaware,2003,792494,2,64,66,0,31,31,0,8,8,2,103,105
Delaware,2002,782221,2,74,76,7,32,39,3,10,13,12,116,128
Delaware,2001,771580,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,116,143
Delaware,2e3,783216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
Delaware,1999,771061.1000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,137,170
Delaware,1998,758906.2000000002,9,41,50,24,106,130,NA,NA,NA,33,147,180
Delaware,1997,746751.3000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,248
Delaware,1996,734596.4000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,1995,722441.5000000001,NA,NA,80,NA,NA,42,NA,NA,NA,NA,NA,122
Delaware,1994,710286.6000000001,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,34
Delaware,1993,698131.7000000001,NA,NA,79,NA,NA,34,NA,NA,NA,NA,NA,113
Delaware,1992,685976.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104
Delaware,1991,673821.9,NA,NA,78,NA,NA,7,NA,NA,0,NA,NA,85
