cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,023268,Meridian College,Proprietary,Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,24,13000,13437
2015_2016,023268,Meridian College,Proprietary,Allied Health and Medical Assisting Services.,Associate's Degree,NA,NA,NA
2016_2017,023268,Meridian College,Proprietary,Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,48,13000,12590
2016_2017,023268,Meridian College,Proprietary,Allied Health and Medical Assisting Services.,Associate's Degree,NA,NA,NA
2015_2016,023268,Meridian College,Proprietary,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,15,NA,23795
2016_2017,023268,Meridian College,Proprietary,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Associate's Degree,19,NA,23008
2015_2016,023268,Meridian College,Proprietary,Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,13,NA,13472
2016_2017,023268,Meridian College,Proprietary,Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,12,NA,11497
2015_2016,023268,Meridian College,Proprietary,Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,11,NA,8772
2016_2017,023268,Meridian College,Proprietary,Dental Support Services and Allied Professions.,Undergraduate Certificate or Diploma,12,NA,7833
2015_2016,023268,Meridian College,Proprietary,Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,13,NA,11855
2015_2016,023268,Meridian College,Proprietary,Health and Medical Administrative Services.,Associate's Degree,NA,NA,NA
2016_2017,023268,Meridian College,Proprietary,Health and Medical Administrative Services.,Undergraduate Certificate or Diploma,11,NA,12851
2016_2017,023268,Meridian College,Proprietary,Health and Medical Administrative Services.,Associate's Degree,NA,NA,22274
