agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Jonestown Police Department,2023,Texas,2674,TX22722,0,0,0,0,0,1,1,0,1,0,0,1,0,25,1,1,0,0,23,7,3,4,0,21,3,1,1,1,58,0,2,4,31,35,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,10,1,0,1,0,0,1,1,0,0,13,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,4,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonestown Police Department,2022,Texas,2506,TX22722,0,0,0,0,0,3,3,0,0,0,0,0,0,32,0,2,3,0,27,11,5,6,0,14,6,4,0,2,66,0,5,8,31,39,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,12,1,0,1,0,2,0,0,0,0,17,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonestown Police Department,2021,Texas,2207,TX22722,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,31,13,2,11,0,23,3,2,0,1,71,0,1,1,39,40,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,22,1,0,1,0,1,0,0,0,0,25,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonestown Police Department,2020,Texas,2139,TX22722,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,3,5,21,10,6,4,0,29,4,1,0,3,76,0,12,12,43,55,0,0,3,3,0,0,0,0,0,0,35,0,4,3,5,23,4,4,0,0,9,2,2,0,0,53,0,12,15,15,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Jonestown Police Department,2019,Texas,2118,TX22722,0,0,0,0,0,3,3,0,2,1,0,0,1,18,1,0,3,0,14,6,3,2,1,29,2,1,0,1,60,0,4,9,37,46,0,0,0,0,0,2,1,0,0,1,22,1,0,3,2,16,2,0,2,0,18,2,0,0,2,46,0,6,8,22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,3,3
Jonestown Police Department,2018,Texas,2109,TX22722,0,0,0,0,0,1,1,0,0,0,0,0,0,24,0,1,3,0,20,8,1,7,0,30,1,1,0,0,64,0,4,5,39,44,0,0,2,2,0,0,0,0,0,0,20,1,1,2,0,16,6,2,4,0,22,1,1,0,0,51,0,4,6,29,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,4,0,0,0,4,4
Jonestown Police Department,2017,Texas,2065,TX22722,0,0,0,0,0,1,1,0,2,1,1,0,0,18,1,0,0,1,16,13,7,4,2,19,6,3,0,3,59,0,2,5,38,43,0,0,3,3,0,1,1,0,0,0,17,1,0,0,0,16,4,2,2,0,5,2,2,0,0,32,0,1,5,11,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,0,0,0,3,3
Jonestown Police Department,2016,Texas,2074,TX22722,0,0,0,0,0,2,2,0,0,0,0,0,0,17,0,0,0,1,16,9,6,2,1,18,4,3,0,1,50,0,1,3,31,34,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1,13,6,5,0,1,9,1,1,0,0,31,0,2,2,16,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Jonestown Police Department,2015,Texas,2068,TX22722,0,0,0,0,0,0,0,0,2,1,0,1,0,16,0,0,0,3,13,12,3,9,0,29,3,3,0,0,62,0,3,5,44,49,0,0,0,0,0,1,1,0,0,0,13,0,0,0,3,10,3,0,3,0,9,1,1,0,0,27,0,3,4,13,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3
Jonestown Police Department,2014,Texas,2030,TX22722,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,4,8,12,3,8,1,29,1,0,0,1,57,0,7,7,42,49,0,0,0,0,0,0,0,0,0,0,9,0,0,2,3,4,2,0,2,0,5,0,0,0,0,16,0,5,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1
