agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Milton-freewater Police Department,2018,Oregon,7021,OR03002,0,0,0,0,0,1,1,0,5,3,0,2,0,73,10,0,9,0,54,33,14,18,1,100,18,13,0,5,230,19,25,151,176,0,0,0,0,0,2,2,0,0,0,51,8,0,3,0,40,1,1,0,0,15,0,0,0,0,69,11,13,16,29,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,4,0,0,0,0,11,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton-freewater Police Department,2017,Oregon,7011,OR03002,0,0,0,0,0,8,7,1,1,0,0,1,0,67,7,2,12,0,46,38,18,18,2,140,13,13,0,0,267,21,30,191,221,0,0,2,2,0,0,0,0,0,0,54,7,1,9,0,37,4,0,4,0,12,1,1,0,0,73,17,19,17,36,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,1,0,0,0,0,8,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milton-freewater Police Department,2016,Oregon,,OR03002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milton-freewater Police Department,2015,Oregon,7095,OR03002,0,0,3,1,0,1,1,0,3,2,0,0,1,68,0,3,4,8,53,55,37,16,2,211,28,20,5,3,367,15,20,294,314,0,0,0,0,0,2,1,0,0,1,56,0,3,3,6,44,9,5,4,0,32,6,6,0,0,105,12,14,47,61,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,7,1,1,0,0,12,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,2,2,0,0,8,0,0,8,8
Milton-freewater Police Department,2014,Oregon,7109,OR03002,0,0,3,0,0,0,0,0,1,0,0,0,1,62,9,2,3,6,42,53,29,21,3,254,51,30,11,10,421,20,21,358,379,0,0,0,0,0,1,0,0,0,1,36,1,1,2,4,28,2,0,2,0,46,6,4,2,0,91,8,9,54,63,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,7,0,0,0,0,11,1,1,7,8,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,8,2,2,0,0,10,1,1,0,0,22,0,1,13,14
Milton-freewater Police Department,2013,Oregon,7126,OR03002,0,0,1,0,0,3,3,0,0,0,0,0,0,48,1,1,1,1,44,51,28,21,2,244,21,7,8,6,367,4,7,316,323,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,32,8,4,4,0,45,9,3,5,1,95,1,1,62,63,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,12,3,0,3,0,18,0,0,16,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,3,1,1,0,0,8,0,0,6,6
Milton-freewater Police Department,2012,Oregon,7182,OR03002,0,0,1,0,0,0,0,0,0,0,0,0,0,79,1,3,1,6,68,80,49,31,0,297,36,20,13,3,492,11,11,413,424,0,0,0,0,0,0,0,0,0,0,56,0,3,0,2,51,7,1,6,0,45,3,2,1,0,111,5,5,55,60,0,0,0,0,0,0,0,0,0,0,9,0,2,0,1,6,0,0,0,0,15,0,0,0,0,24,3,3,15,18,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,2,1,1,0,6,0,0,0,0,15,0,0,8,8
Milton-freewater Police Department,2011,Oregon,7125,OR03002,0,0,2,0,0,0,0,0,3,1,0,0,2,75,3,2,5,5,58,35,20,10,1,156,19,4,12,1,288,17,20,210,230,0,0,0,0,0,1,0,0,0,1,48,0,2,1,4,41,5,3,2,0,37,5,0,5,0,96,7,8,47,55,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0,1,0,14,2,0,2,0,27,0,0,17,17,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,2,1,1,0,11,2,0,2,0,18,0,1,15,16
Milton-freewater Police Department,2010,Oregon,7050,OR03002,0,0,3,0,0,1,1,0,0,0,0,0,0,67,2,1,9,11,44,54,23,31,0,174,15,6,4,5,311,23,24,243,267,0,0,0,0,0,0,0,0,0,0,47,1,1,8,9,28,4,2,2,0,33,4,2,0,2,88,19,19,41,60,0,0,0,0,0,0,0,0,0,0,14,0,0,2,2,10,2,1,1,0,8,1,1,0,0,25,4,4,11,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,3,5,0,3,3,1,2,0,19,0,0,14,14
Milton-freewater Police Department,2009,Oregon,6415,OR03002,0,0,2,1,0,1,1,0,1,0,1,0,0,69,1,4,1,5,58,51,30,20,1,120,13,11,1,1,256,11,14,184,198,1,0,0,0,0,0,0,0,0,0,57,0,4,1,3,49,2,2,0,0,36,2,2,0,0,98,8,9,40,49,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,1,0,0,13,0,0,0,0,17,1,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,3,3,0,0,11,0,0,11,11
