agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Litchfield Police Department,2017,Minnesota,6634,MN04701,0,0,0,0,0,12,9,3,0,0,0,0,0,66,0,0,3,4,59,25,15,9,1,101,7,6,0,1,211,7,0,0,5,4,1,0,0,0,0,0,48,0,0,3,3,42,4,3,1,0,19,2,2,0,0,78,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,1,0,0,6,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,4,0
Litchfield Police Department,2016,Minnesota,6643,MN04701,0,0,0,0,0,4,3,1,0,0,0,0,0,65,0,1,1,1,62,9,7,2,0,91,6,6,0,0,175,3,0,0,1,1,0,0,0,0,0,0,50,0,1,0,1,48,1,0,1,0,16,1,1,0,0,69,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,2,0,0,0,0,5,0
Litchfield Police Department,2015,Minnesota,6653,MN04701,0,0,0,0,0,6,6,0,1,0,0,1,0,60,0,2,0,2,56,24,18,6,0,82,4,3,0,1,177,4,0,0,1,1,0,1,0,0,1,0,44,0,1,0,2,41,6,3,3,0,27,2,2,0,0,81,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0
Litchfield Police Department,2014,Minnesota,6678,MN04701,0,0,0,0,0,6,6,0,0,0,0,0,0,62,0,2,1,1,58,31,20,10,1,100,4,2,0,2,203,4,0,0,2,2,0,0,0,0,0,0,45,0,1,1,1,42,3,1,2,0,20,2,1,0,1,72,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,1,1,1,0,0,6,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,1,1,0,0,11,0
Litchfield Police Department,2013,Minnesota,6653,MN04701,0,0,0,0,0,2,2,0,0,0,0,0,0,57,0,2,1,0,54,18,12,5,1,72,5,5,0,0,154,3,0,0,1,1,0,0,0,0,0,0,43,0,2,1,0,40,1,0,1,0,13,0,0,0,0,58,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,5,0,0,0,0,2,0,0,0,0,8,1,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,11,0
Litchfield Police Department,2012,Minnesota,6758,MN04701,0,0,0,0,0,5,4,1,1,0,0,0,1,55,0,2,2,0,51,24,18,4,2,87,7,5,0,2,179,4,0,0,1,1,0,0,0,0,0,0,43,0,2,2,0,39,3,3,0,0,10,2,2,0,0,59,4,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,5,0,0,0,0,2,1,1,0,0,9,1,0,0,5,5,0,0,0,0,0,0,6,0,0,0,0,6,1,0,0,1,3,1,1,0,0,16,0
Litchfield Police Department,2011,Minnesota,6778,MN04701,0,0,0,0,0,5,3,2,0,0,0,0,0,62,0,1,0,1,60,21,18,3,0,74,5,5,0,0,167,2,0,0,4,3,1,0,0,0,0,0,50,0,1,0,1,48,4,3,1,0,15,2,2,0,0,75,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,7,0,0,1,0,6,0,0,0,0,0,0,0,0,0,9,1
Litchfield Police Department,2010,Minnesota,6726,MN04701,0,0,0,0,0,10,8,2,0,0,0,0,0,77,0,3,1,2,71,27,21,4,2,99,4,4,0,0,217,6,0,0,4,3,1,0,0,0,0,0,62,0,3,1,2,56,3,3,0,0,13,1,1,0,0,83,6,0,0,1,1,0,0,0,0,0,0,13,0,1,0,1,11,0,0,0,0,3,0,0,0,0,17,2,0,0,2,2,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,12,0
Litchfield Police Department,2009,Minnesota,6557,MN04701,0,0,0,0,0,8,6,2,0,0,0,0,0,54,0,1,1,0,52,17,8,8,1,83,4,4,0,0,166,2,0,0,1,1,0,0,0,0,0,0,38,0,1,1,0,36,5,3,1,1,14,2,2,0,0,60,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,5,1,1,0,0,9,0,0,0,1,1,0,0,0,0,0,0,8,1,0,0,0,7,0,0,0,0,1,1,1,0,0,11,1
Litchfield Police Department,2008,Minnesota,6595,MN04701,0,0,0,0,0,0,0,0,1,1,0,0,0,61,0,2,2,0,57,19,13,5,1,97,3,2,0,1,192,4,0,0,0,0,0,0,0,0,0,0,39,0,2,2,0,35,1,1,0,0,19,0,0,0,0,63,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0
