agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
York Police Dept,2017,Nebraska,7876,NB09301,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,24,9,14,1,201,9,6,3,0,262,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,2,1,1,0,87,1,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2016,Nebraska,7885,NB09301,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,21,6,15,0,198,9,5,3,1,250,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,2,0,2,0,87,5,4,1,0,113,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,1,0,7,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2015,Nebraska,8008,NB09301,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,16,7,8,1,149,5,1,2,2,197,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,1,1,0,0,66,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2014,Nebraska,8012,NB09301,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,1,48,43,23,20,0,170,6,3,1,2,269,2,0,0,0,0,0,1,1,0,0,0,46,0,0,0,1,45,1,1,0,0,49,0,0,0,0,97,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,8,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2013,Nebraska,7875,NB09301,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,0,0,56,20,9,11,0,162,14,9,4,1,253,1,0,0,0,0,0,0,0,0,0,0,56,0,1,0,0,55,5,2,3,0,47,6,5,1,0,114,1,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,37,0,0,0,0,11,4,3,1,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2012,Nebraska,7857,NB09301,0,0,0,0,0,0,0,0,3,2,0,1,0,49,0,1,0,0,48,27,13,13,1,176,5,3,1,1,260,1,0,0,0,0,0,1,0,0,1,0,47,0,1,0,0,46,5,5,0,0,33,2,2,0,0,88,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,6,1,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2011,Nebraska,7835,NB09301,0,0,0,0,0,0,0,0,2,2,0,0,0,44,0,0,0,2,42,35,9,20,6,169,9,5,1,3,259,2,0,0,0,0,0,1,1,0,0,0,41,0,0,0,2,39,2,2,0,0,42,2,1,1,0,88,2,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,16,0,0,0,0,8,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2010,Nebraska,7766,NB09301,0,0,1,0,0,0,0,0,2,2,0,0,0,72,0,0,1,2,69,30,10,14,6,144,7,5,2,0,255,3,0,0,0,0,0,1,1,0,0,0,65,0,0,1,1,63,5,2,2,1,26,3,3,0,0,100,2,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,34,1,0,0,1,12,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2009,Nebraska,7847,NB09301,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,2,40,31,13,16,2,174,3,2,0,1,251,3,0,0,0,0,0,0,0,0,0,0,37,0,1,0,2,34,6,3,3,0,37,0,0,0,0,80,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,15,1,0,1,0,14,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York Police Dept,2008,Nebraska,7884,NB09301,0,0,2,0,0,1,1,0,0,0,0,0,0,50,0,1,0,1,48,27,12,10,5,187,5,3,1,1,270,2,0,0,1,1,0,0,0,0,0,0,48,0,1,0,1,46,8,6,1,1,31,4,3,1,0,92,2,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,15,2,1,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
