agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Pequea Township Police Lancaster,2019,Pennsylvania,5108,PA03627,0,0,0,0,0,3,3,0,0,0,0,0,0,13,0,0,0,6,7,13,8,5,0,37,2,2,0,0,68,0,6,9,52,61,0,0,2,2,0,0,0,0,0,0,13,0,0,0,6,7,4,4,0,0,15,2,2,0,0,36,0,6,8,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,1,4,5
Pequea Township Police Lancaster,2018,Pennsylvania,5022,PA03627,0,0,0,0,0,0,0,0,1,1,0,0,0,27,0,0,0,6,21,9,5,4,0,29,4,4,0,0,70,0,6,7,42,49,0,0,0,0,0,2,2,0,0,0,27,0,0,0,6,21,2,2,0,0,8,2,2,0,0,41,0,6,8,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Pequea Township Police Lancaster,2017,Pennsylvania,4827,PA03627,0,0,0,0,0,1,1,0,1,1,0,0,0,18,0,0,0,11,7,8,7,1,0,27,2,2,0,0,57,0,11,13,37,50,0,0,0,0,0,0,0,0,0,0,19,0,0,0,11,8,2,1,1,0,6,2,2,0,0,29,0,11,11,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Pequea Township Police Lancaster,2016,Pennsylvania,4778,PA03627,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,7,9,14,12,2,0,19,1,1,0,0,50,0,7,7,34,41,0,0,0,0,0,0,0,0,0,0,14,0,0,0,6,8,5,5,0,0,8,1,1,0,0,28,0,6,6,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,3,0,1,1,2,3
Pequea Township Police Lancaster,2015,Pennsylvania,4709,PA03627,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,1,0,4,6,10,8,2,0,21,2,1,0,1,45,0,5,6,33,39,0,0,1,1,0,0,0,0,0,0,10,0,1,0,4,5,4,2,2,0,6,0,0,0,0,21,0,5,6,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,0,0,1,1,2
Pequea Township Police Lancaster,2014,Pennsylvania,4665,PA03627,0,0,0,0,0,1,1,0,1,0,0,0,1,18,0,0,0,5,13,22,11,10,1,35,4,4,0,0,81,0,5,7,61,68,0,0,0,0,0,1,0,0,0,1,18,0,0,0,5,13,9,5,3,1,8,3,3,0,0,39,0,5,6,20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Pequea Township Police Lancaster,2013,Pennsylvania,4626,PA03627,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,9,10,4,6,0,36,4,3,0,1,63,0,4,4,50,54,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,9,5,2,3,0,17,3,3,0,0,38,0,4,4,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,0,3,3
Pequea Township Police Lancaster,2012,Pennsylvania,4650,PA03627,0,0,0,0,0,3,3,0,0,0,0,0,0,13,1,0,0,2,10,13,8,4,1,31,0,0,0,0,60,0,3,6,44,50,0,0,3,3,0,0,0,0,0,0,15,1,0,0,2,12,5,4,1,0,14,0,0,0,0,37,0,3,6,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pequea Township Police Lancaster,2011,Pennsylvania,4620,PA03627,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,0,8,7,4,3,0,40,1,0,0,1,58,0,2,2,48,50,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,7,2,1,1,0,14,0,0,0,0,24,0,1,1,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pequea Township Police Lancaster,2010,Pennsylvania,4605,PA03627,0,0,0,0,0,1,1,0,1,0,0,0,1,11,0,1,1,5,4,17,8,9,0,41,3,2,0,1,74,0,7,9,61,70,0,0,1,1,0,1,0,0,0,1,10,0,1,1,4,4,7,3,4,0,11,2,2,0,0,32,0,6,8,20,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
