agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Eden Police Department,2009,Texas,2362,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,13,10,5,5,0,31,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,13,1,0,1,0,22,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,2,0,0,0,0,6,0
Eden Police Department,2008,Texas,2356,TX04801,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,8,10,3,6,1,21,0,0,0,0,42,3,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,7,1,0,1,0,8,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,4,1,0,1,0,2,0,0,0,0,8,0
Eden Police Department,2007,Texas,2386,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,4,8,9,1,8,0,14,0,0,0,0,37,6,0,0,0,0,0,0,0,0,0,0,14,0,0,2,4,8,2,1,1,0,5,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0
Eden Police Department,2006,Texas,2516,TX04801,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,0,0,8,9,5,4,0,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,1,1,0,0,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4,2,2,0,0,9,0
Eden Police Department,2005,Texas,2488,TX04801,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,1,13,5,3,2,0,20,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,13,2,2,0,0,11,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,1,0,0,0,0,4,0
Eden Police Department,2004,Texas,2513,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,2,3,18,8,2,6,0,10,3,3,0,0,44,5,0,0,0,0,0,0,0,0,0,0,22,0,0,2,3,17,3,0,3,0,3,2,2,0,0,30,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1
Eden Police Department,2003,Texas,2553,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,13,11,5,6,0,7,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,13,4,1,3,0,5,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
Eden Police Department,2002,Texas,2675,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,3,1,24,18,10,8,0,9,1,1,0,0,56,4,0,0,0,0,0,0,0,0,0,0,22,0,0,3,1,18,6,3,3,0,5,1,1,0,0,34,4,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden Police Department,2001,Texas,2619,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,9,3,1,2,0,0,1,1,0,0,16,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,0,0,0,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,3,0
Eden Police Department,2000,Texas,2561,TX04801,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,5,1,14,9,5,0,22,1,1,0,0,44,6,0,0,0,0,0,0,0,0,0,0,7,0,0,1,5,1,4,4,0,0,10,0,0,0,0,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0
