agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Dickson City Police Department,2023,Pennsylvania,5984,PA03508,0,0,0,0,0,0,0,0,1,1,0,0,0,36,0,1,0,28,7,7,1,3,3,112,10,8,0,2,166,0,29,30,129,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Dickson City Police Department,2022,Pennsylvania,6028,PA03508,0,0,0,0,0,1,1,0,1,0,0,1,0,19,0,4,2,9,4,8,3,2,3,151,4,2,0,2,184,0,15,17,163,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickson City Police Department,2021,Pennsylvania,5698,PA03508,0,0,0,0,0,0,0,0,1,1,0,0,0,24,1,0,1,17,5,4,4,0,0,94,6,6,0,0,129,0,19,20,104,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Dickson City Police Department,2020,Pennsylvania,5728,PA03508,0,0,0,0,0,1,0,1,2,0,0,1,1,12,0,1,0,10,1,10,6,3,1,77,1,1,0,0,103,0,11,14,88,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Dickson City Police Department,2019,Pennsylvania,,PA03508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickson City Police Department,2018,Pennsylvania,5761,PA03508,0,0,0,0,0,0,0,0,3,0,1,0,2,31,0,4,1,16,10,11,6,2,3,232,3,0,0,3,280,0,21,24,246,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,1,0,0,8,0,0,0,8,8
Dickson City Police Department,2017,Pennsylvania,5794,PA03508,0,0,1,0,0,1,0,1,2,1,1,0,0,29,0,0,1,20,8,15,7,3,5,246,5,4,0,1,298,0,21,24,266,290,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,0,0,0,0,16,0,0,2,14,16
Dickson City Police Department,2016,Pennsylvania,5839,PA03508,0,0,1,0,0,1,1,0,0,0,0,0,0,23,1,2,0,12,8,11,5,3,3,291,2,2,0,0,328,0,15,16,304,320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,1,1,0,0,6,0,0,0,5,5
Dickson City Police Department,2015,Pennsylvania,5990,PA03508,0,0,0,0,0,3,3,0,1,0,0,0,1,20,0,0,0,13,7,18,9,6,3,314,5,2,0,3,361,0,13,17,337,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Dickson City Police Department,2014,Pennsylvania,6035,PA03508,0,0,0,1,0,2,2,0,5,3,1,0,1,14,0,2,1,8,3,10,5,4,1,248,5,5,0,0,285,0,11,19,263,282,0,0,2,2,0,1,0,0,1,0,3,0,0,1,1,1,2,1,1,0,3,0,0,0,0,11,0,2,5,5,10
