agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
University of North Texas Police Department,2017,Texas,0,TX06111,0,0,5,5,0,0,0,0,0,0,52,0,0,1,3,48,14,2,12,0,149,6,2,1,3,226,4,0,0,3,3,0,1,1,0,0,0,45,0,0,0,4,41,6,1,5,0,41,2,1,0,1,98,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,28,1,1,0,0,32,0
University of North Texas Police Department,2016,Texas,0,TX06111,0,0,5,5,0,2,1,0,0,1,56,2,0,0,0,54,9,0,9,0,143,2,1,0,1,217,2,0,0,3,3,0,1,0,0,0,1,43,0,0,0,1,42,3,1,2,0,36,1,1,0,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,1,1,0,0,23,0
University of North Texas Police Department,2015,Texas,0,TX06111,0,0,2,2,0,0,0,0,0,0,48,0,0,0,3,45,16,4,12,0,153,2,1,0,1,221,3,0,0,4,4,0,0,0,0,0,0,34,0,0,0,0,34,2,1,1,0,23,1,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,20,0
University of North Texas Police Department,2014,Texas,0,TX06111,0,0,7,7,0,1,0,0,0,1,40,0,0,4,1,35,24,4,20,0,161,5,1,1,3,238,5,0,0,3,3,0,1,0,0,0,1,38,0,0,4,1,33,3,1,2,0,29,2,1,1,0,76,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21,0,0,0,0,22,0
University of North Texas Police Department,2013,Texas,0,TX06111,0,0,2,2,0,0,0,0,0,0,47,0,3,0,3,41,19,4,15,0,156,2,1,0,1,226,6,0,0,0,0,0,0,0,0,0,0,36,0,3,0,3,30,1,0,1,0,33,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,10,1,0,0,1,13,0
University of North Texas Police Department,2012,Texas,0,TX06111,0,0,1,1,0,0,0,0,0,0,31,1,1,3,0,26,19,1,18,0,170,4,1,0,3,225,5,0,0,1,1,0,0,0,0,0,0,24,0,1,3,1,19,5,0,5,0,35,2,2,0,0,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,21,1,1,0,0,25,0
University of North Texas Police Department,2011,Texas,0,TX06111,0,0,1,1,0,1,0,0,0,1,31,0,3,0,1,27,28,3,25,0,145,7,4,0,3,213,4,0,0,1,1,0,0,0,0,0,0,30,0,3,0,1,26,10,1,9,0,30,2,2,0,0,73,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,17,0
University of North Texas Police Department,2010,Texas,0,TX06111,0,0,0,0,0,0,0,0,0,0,34,0,2,0,1,31,35,4,31,0,176,6,4,1,1,251,3,0,0,0,0,0,0,0,0,0,0,32,0,2,0,1,29,8,1,7,0,45,4,3,0,1,89,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,13,1,1,0,0,17,0
University of North Texas Police Department,2009,Texas,0,TX06111,0,0,0,0,0,0,0,0,0,0,47,0,0,0,3,44,29,1,28,0,162,4,3,1,0,242,3,0,0,0,0,0,0,0,0,0,0,45,0,0,0,3,42,5,1,4,0,39,0,0,0,0,89,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,16,1,0,1,0,20,0
University of North Texas Police Department,2008,Texas,0,TX06111,0,0,0,0,0,0,0,0,0,0,37,0,2,1,4,30,27,3,24,0,193,7,3,2,2,264,7,0,0,0,0,0,0,0,0,0,0,35,0,2,1,4,28,10,0,10,0,64,2,1,0,1,111,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,19,0,0,0,0,21,0
