agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
State Police Clay,2023,West Virginia,0,WVWSP08,0,0,0,0,0,4,3,1,0,0,0,0,0,43,10,0,2,0,31,17,9,7,1,28,7,3,2,2,99,0,12,16,52,68,0,0,1,1,0,0,0,0,0,0,17,1,0,1,0,15,5,3,2,0,0,1,1,0,0,24,0,2,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2022,West Virginia,0,WVWSP08,0,0,0,1,0,1,1,0,0,0,0,0,0,29,1,0,1,3,24,16,11,5,0,26,8,2,4,2,81,0,5,7,50,57,1,0,0,0,0,0,0,0,0,0,10,1,0,0,0,9,2,0,2,0,6,0,0,0,0,19,0,1,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2021,West Virginia,0,WVWSP08,0,0,0,1,0,3,3,0,0,0,0,0,0,28,1,0,2,1,24,22,4,18,0,17,10,5,1,4,81,0,4,8,49,57,1,0,1,1,0,0,0,0,0,0,12,0,0,1,0,11,4,1,3,0,3,1,1,0,0,22,0,1,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2020,West Virginia,0,WVWSP08,0,0,0,2,0,1,1,0,0,0,0,0,0,60,2,0,0,4,54,73,0,73,0,38,17,15,1,1,191,0,6,9,128,137,2,0,4,4,0,0,0,0,0,0,29,2,0,0,3,24,6,0,6,0,3,3,3,0,0,47,0,5,11,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2019,West Virginia,0,WVWSP08,0,0,0,0,0,4,4,0,2,1,1,0,0,38,7,1,0,1,29,24,1,23,0,24,9,6,1,2,101,0,9,15,57,72,0,0,2,2,0,0,0,0,0,0,22,2,1,0,1,18,3,1,2,0,3,1,1,0,0,31,0,4,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2018,West Virginia,0,WVWSP08,0,0,0,0,0,1,1,0,0,0,0,0,0,49,3,0,0,5,41,14,9,5,0,22,17,0,2,15,103,0,8,9,53,62,0,0,0,0,0,0,0,0,0,0,47,3,0,0,6,38,4,2,2,0,6,3,0,0,3,60,0,9,9,13,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2017,West Virginia,0,WVWSP08,0,0,0,5,0,3,3,0,1,0,0,0,1,125,17,2,2,6,98,50,38,12,0,76,25,0,1,24,285,0,27,36,151,187,2,0,1,1,0,0,0,0,0,0,102,17,2,4,3,76,18,14,4,0,17,9,0,0,9,149,0,26,29,44,73,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,1,1,0,0,1,5,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2016,West Virginia,0,WVWSP08,0,0,0,0,0,2,2,0,1,0,0,0,1,91,15,5,3,1,67,45,31,14,0,58,25,2,1,22,222,0,24,27,128,155,1,0,3,3,0,1,0,0,0,1,85,13,4,1,1,66,7,6,1,0,9,6,2,1,3,112,0,19,24,22,46,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2015,West Virginia,0,WVWSP08,0,0,0,1,0,5,5,0,5,1,3,0,1,57,4,0,3,2,48,25,20,5,0,44,15,0,0,15,152,0,9,20,84,104,0,0,2,2,0,5,1,3,0,1,45,3,0,3,1,38,10,9,1,0,16,7,0,0,7,85,0,7,14,33,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,2,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police Clay,2014,West Virginia,0,WVWSP08,0,0,0,0,0,0,0,0,1,0,0,1,0,38,2,1,3,0,32,18,16,2,0,44,8,1,0,7,109,0,6,7,70,77,0,0,1,1,0,1,0,0,1,0,30,1,1,1,0,27,1,1,0,0,14,1,0,0,1,48,0,3,5,16,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
