agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Konawa Police Department,2017,Oklahoma,1267,OK06701,41,10,1,0,11,7,0,0,20,8,0,0,2,2,0,0,0,0,0,0,2,1,0,0,9,1,0,0,7,4,0,0,7,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,0,3,1,0,0,0,0,0,0,1,0,0,0
Konawa Police Department,2008,Oklahoma,1387,OK06701,10,3,1,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konawa Police Department,2007,Oklahoma,1417,OK06701,46,9,0,0,2,1,0,0,20,8,0,0,0,0,0,0,0,0,0,0,2,1,0,0,18,7,0,0,0,0,0,0,9,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0
Konawa Police Department,2006,Oklahoma,1447,OK06701,35,12,2,0,3,1,0,0,16,9,2,0,0,0,0,0,2,1,0,0,0,0,0,0,13,8,2,0,1,0,0,0,4,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Konawa Police Department,2005,Oklahoma,1438,OK06701,17,4,0,0,4,1,0,0,10,4,0,0,1,0,0,0,2,1,0,0,0,0,0,0,6,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Konawa Police Department,2004,Oklahoma,1434,OK06701,54,28,6,2,10,9,3,0,20,13,3,0,0,0,0,0,1,1,1,0,2,1,0,0,10,4,0,0,7,7,2,0,14,3,1,2,2,1,0,0,10,2,1,1,2,0,0,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,8,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Konawa Police Department,2003,Oklahoma,1456,OK06701,51,25,2,3,8,8,1,0,19,19,1,0,1,1,0,0,0,0,0,0,1,1,0,0,11,11,0,0,6,6,1,0,8,1,0,1,2,0,0,0,2,0,0,0,4,1,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,1,3,2,0,1,0,0,0,0,0,0,0,0
Konawa Police Department,2002,Oklahoma,1497,OK06701,40,21,2,2,7,6,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,6,0,0,6,0,0,1,0,0,0,0,4,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,10,2,0,2,1,0,0,0,0,0,0,0,0,0,0
Konawa Police Department,2001,Oklahoma,1483,OK06701,44,19,2,0,15,11,0,0,21,14,0,0,1,1,0,0,1,0,0,0,5,3,0,0,6,3,0,0,8,7,0,0,4,1,1,0,1,0,0,0,3,1,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,0,2,1,0,0,0,0,0,0,4,0,0,0
Konawa Police Department,2e3,Oklahoma,1479,OK06701,18,5,5,0,2,1,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,0,9,2,2,0,0,0,0,0,4,2,2,0,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
Konawa Police Department,1999,Oklahoma,1422,OK06701,44,18,3,0,7,6,1,0,17,15,1,0,1,1,0,0,3,3,1,0,2,1,0,0,10,9,0,0,1,1,0,0,8,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Konawa Police Department,1998,Oklahoma,1465,OK06701,42,17,3,0,5,5,0,0,14,13,1,0,0,0,0,0,1,1,0,0,0,0,0,0,9,8,1,0,4,4,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0
