agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Mountain City Police Department,1999,Tennessee,2406,TN04601,78,34,1,0,10,10,0,0,31,29,0,0,0,0,0,0,1,1,0,0,9,9,0,0,21,19,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2000,Tennessee,2383,TN04601,83,30,3,0,2,1,0,0,25,23,1,0,0,0,0,0,1,0,0,0,1,1,0,0,23,22,1,0,0,0,0,0,17,0,0,0,3,0,0,0,13,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,2,0,4,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2001,Tennessee,2404,TN04601,78,32,0,0,2,0,0,0,34,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,32,26,0,0,0,0,0,0,16,2,0,0,0,0,0,0,13,2,0,0,3,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2002,Tennessee,2428,TN04601,51,12,0,0,8,8,0,0,16,12,0,0,2,2,0,0,1,1,0,0,4,4,0,0,8,4,0,0,1,1,0,0,7,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2003,Tennessee,2470,TN04601,31,7,2,0,1,1,1,0,6,5,1,0,0,0,0,0,1,1,1,0,0,0,0,0,5,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2004,Tennessee,2470,TN04601,32,4,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2005,Tennessee,2463,TN04601,25,9,0,0,3,2,0,0,8,6,0,0,1,1,0,0,2,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,1,0,0,3,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2006,Tennessee,2450,TN04601,34,24,0,0,3,3,0,0,20,19,0,0,1,1,0,0,1,1,0,0,0,0,0,0,17,16,0,0,1,1,0,0,7,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2007,Tennessee,2389,TN04601,86,26,0,0,5,2,0,0,25,12,0,0,0,0,0,0,1,0,0,0,4,2,0,0,20,10,0,0,0,0,0,0,14,2,0,0,0,0,0,0,12,1,0,0,2,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,8,0,0,5,3,0,0,1,1,0,0,0,0,0,0
Mountain City Police Department,2008,Tennessee,2397,TN04601,81,21,0,0,7,5,0,0,15,8,0,0,0,0,0,0,2,2,0,0,4,2,0,0,8,3,0,0,1,1,0,0,15,4,0,0,0,0,0,0,14,4,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2009,Tennessee,2398,TN04601,56,32,1,0,7,4,0,0,20,15,0,0,0,0,0,0,2,1,0,0,5,3,0,0,13,11,0,0,0,0,0,0,17,10,0,0,1,1,0,0,16,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2010,Tennessee,2531,TN04601,93,20,1,0,5,2,0,0,27,9,1,0,0,0,0,0,3,1,0,0,2,1,0,0,22,7,1,0,0,0,0,0,14,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,0,3,0,0,0,0,0,0,0,1,1,0,0
Mountain City Police Department,2011,Tennessee,2554,TN04601,47,16,1,0,5,4,1,0,10,9,1,0,2,1,0,0,0,0,0,0,1,1,0,0,5,5,0,0,2,2,1,0,5,1,0,0,0,0,0,0,4,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2012,Tennessee,2550,TN04601,81,24,1,0,11,6,0,0,26,14,0,0,1,1,0,0,3,1,0,0,6,4,0,0,15,8,0,0,1,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Mountain City Police Department,2013,Tennessee,2504,TN04601,89,7,0,0,3,2,0,0,25,4,0,0,1,1,0,0,1,0,0,0,1,1,0,0,22,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,7,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2014,Tennessee,2496,TN04601,109,29,1,0,4,3,0,0,38,18,0,0,1,1,0,0,0,0,0,0,2,1,0,0,34,15,0,0,1,1,0,0,8,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2015,Tennessee,2466,TN04601,98,57,0,0,3,3,0,0,39,29,0,0,0,0,0,0,2,2,0,0,1,1,0,0,36,26,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Mountain City Police Department,2016,Tennessee,2463,TN04601,38,27,0,0,4,4,0,0,19,17,0,0,0,0,0,0,1,1,0,0,3,3,0,0,15,13,0,0,0,0,0,0,4,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0
