agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Cowpens Police Department,2017,South Carolina,2326,SC04207,70,10,0,0,4,0,0,0,18,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,14,3,0,0,0,0,0,0,14,2,0,0,2,0,0,0,6,1,0,0,6,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,4,1,0,0,1,0,0,0,1,0,0,0
Cowpens Police Department,2016,South Carolina,2288,SC04207,42,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,3,0,0,0,5,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Cowpens Police Department,2015,South Carolina,2253,SC04207,87,3,0,0,4,0,0,0,20,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,16,0,0,0,1,0,0,0,12,0,0,0,1,0,0,0,3,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cowpens Police Department,2014,South Carolina,2230,SC04207,67,10,0,0,4,1,0,0,25,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,4,0,0,3,1,0,0,11,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cowpens Police Department,2013,South Carolina,2209,SC04207,81,2,0,0,1,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,1,0,0,0,13,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
Cowpens Police Department,2012,South Carolina,2202,SC04207,72,2,0,0,4,0,0,0,26,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22,2,0,0,2,0,0,0,12,0,0,0,1,0,0,0,8,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cowpens Police Department,2011,South Carolina,2187,SC04207,129,11,4,0,9,0,0,0,34,7,2,0,1,0,0,0,4,0,0,0,0,0,0,0,25,7,2,0,4,0,0,0,27,1,1,0,0,0,0,0,17,0,0,0,10,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,1,0,4,0,0,0,3,0,0,0,0,0,0,0
Cowpens Police Department,2010,South Carolina,2162,SC04207,188,30,3,0,27,7,2,0,77,20,3,0,2,0,0,0,11,1,0,0,3,2,1,0,50,13,1,0,11,4,1,0,31,2,0,0,5,0,0,0,19,2,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,8,0,0,2,0,0,0,5,0,0,0,0,0,0,0
Cowpens Police Department,2009,South Carolina,2428,SC04207,205,23,3,0,16,0,0,0,63,13,2,0,1,0,0,0,2,0,0,0,6,0,0,0,47,13,2,0,7,0,0,0,40,1,0,0,6,0,0,0,20,1,0,0,14,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93,6,0,0,6,3,1,0,1,0,0,0,0,0,0,0
Cowpens Police Department,2008,South Carolina,2391,SC04207,196,6,1,0,10,0,0,0,45,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,35,2,0,0,6,0,0,0,55,1,1,0,3,0,0,0,37,1,1,0,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,5,0,0,0,2,0,0,0,1,0,0,0
