agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Kotzebue Police Dept.,2017,Alaska,3251,AK00116,0,0,35,0,0,16,11,5,3,0,0,0,3,584,21,17,44,20,482,34,15,14,5,123,21,3,3,15,781,102,121,178,299,0,0,8,4,4,3,0,0,0,3,541,19,15,41,18,448,29,13,11,5,105,15,3,1,11,701,93,104,149,253,0,0,0,0,0,2,0,0,0,2,39,0,0,7,1,31,10,6,2,2,37,5,1,0,4,93,8,10,52,62,0,0,5,5,0,1,0,0,0,1,101,0,7,2,0,92,10,3,6,1,16,9,0,2,7,142,9,15,35,50
Kotzebue Police Dept.,2016,Alaska,3290,AK00116,0,0,12,1,0,28,26,2,4,0,1,0,3,433,6,19,33,20,355,41,11,13,17,124,41,6,7,28,672,78,111,206,317,1,0,15,13,2,2,0,1,0,1,379,3,14,23,18,321,36,8,12,16,86,25,4,7,14,544,58,76,147,223,1,0,0,0,0,0,0,0,0,0,24,0,0,5,0,19,14,2,5,7,30,4,1,1,2,73,5,6,48,54,0,0,8,6,2,0,0,0,0,0,100,2,3,6,2,87,6,0,3,3,20,8,2,2,4,142,13,21,34,55
Kotzebue Police Dept.,2015,Alaska,3304,AK00116,0,0,19,0,0,16,13,3,8,2,3,0,3,409,1,10,20,32,346,62,20,29,13,112,29,8,3,18,636,63,87,203,290,0,0,13,10,3,8,2,3,0,3,386,1,9,19,31,326,58,18,27,13,94,27,7,3,17,586,60,81,179,260,0,0,0,0,0,2,0,2,0,0,22,0,1,1,8,12,4,1,3,0,19,2,0,0,2,49,10,12,25,37,0,0,15,10,5,0,0,0,0,0,220,0,8,1,2,209,32,2,13,17,45,10,4,0,6,322,11,26,87,113
Kotzebue Police Dept.,2014,Alaska,3289,AK00116,0,0,23,0,0,18,18,0,3,0,1,0,2,260,4,4,8,12,232,30,14,8,8,86,27,5,3,19,424,28,49,143,192,0,0,12,12,0,2,0,1,0,1,217,4,3,7,11,192,16,5,4,7,59,11,3,3,5,317,25,39,86,125,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7,1,0,0,1,12,0,0,8,8,0,0,14,11,3,3,0,0,0,3,161,0,4,2,2,153,18,6,4,8,32,11,5,0,6,239,8,25,61,86
Kotzebue Police Dept.,2013,Alaska,3375,AK00116,0,0,4,0,0,24,20,4,3,0,0,0,3,290,4,17,12,25,232,25,18,3,4,110,33,6,2,25,485,58,85,168,253,0,0,15,11,4,4,0,0,0,4,186,4,14,9,11,148,11,8,1,2,41,16,4,1,11,273,38,57,68,125,0,0,1,1,0,0,0,0,0,0,7,2,1,1,1,2,0,0,0,0,3,7,2,0,5,18,5,6,10,16,0,0,10,8,2,2,0,0,0,2,168,0,9,9,6,144,8,3,3,2,42,8,1,0,7,238,24,36,58,94
Kotzebue Police Dept.,2012,Alaska,3334,AK00116,0,0,13,0,0,23,20,3,12,0,0,2,10,210,2,13,16,12,167,46,42,3,1,126,38,14,0,24,455,43,78,210,288,0,0,12,9,3,7,0,0,2,5,180,2,10,14,8,146,15,14,1,0,42,16,6,0,10,272,34,53,73,126,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,3,3,0,0,7,3,2,0,1,17,1,1,13,14,0,0,18,17,1,3,0,0,0,3,140,0,5,6,2,127,18,15,2,1,31,7,3,1,3,217,13,34,56,90
Kotzebue Police Dept.,2011,Alaska,3257,AK00116,0,0,5,1,0,19,16,3,3,0,1,1,1,255,2,12,8,8,225,37,28,5,4,78,50,4,1,45,443,30,53,165,218,1,0,6,5,1,3,0,1,1,1,148,1,7,6,8,126,12,10,1,1,14,8,1,0,7,192,22,32,34,66,0,0,0,0,0,0,0,0,0,0,11,0,1,1,1,8,2,1,1,0,2,1,0,0,1,16,3,3,5,8,0,0,12,11,1,0,0,0,0,0,80,0,1,2,0,77,1,0,0,1,11,5,2,0,3,109,3,15,17,32
Kotzebue Police Dept.,2010,Alaska,3201,AK00116,0,0,5,0,0,10,8,2,4,0,0,0,4,207,0,1,2,10,194,22,12,10,0,52,29,10,5,14,324,13,27,103,130,0,0,1,1,0,0,0,0,0,0,134,0,1,2,7,124,13,8,5,0,5,17,4,4,9,170,10,11,35,46,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,11,3,1,2,0,2,6,1,1,4,24,2,2,11,13,0,0,4,3,1,0,0,0,0,0,7,0,0,0,0,7,4,2,2,0,0,0,0,0,0,15,0,4,4,8
Kotzebue Police Dept.,2009,Alaska,3187,AK00116,0,0,11,0,0,9,7,2,0,0,0,0,0,188,5,1,0,2,180,9,4,5,0,36,10,1,0,9,252,8,17,55,72,0,0,1,0,1,0,0,0,0,0,128,5,1,0,1,121,6,2,4,0,5,1,1,0,0,141,7,8,12,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,2,1,1,0,0,9,0,0,3,3,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,7,0,3,1,4
Kotzebue Police Dept.,2008,Alaska,3160,AK00116,0,0,21,0,0,5,4,1,1,0,0,0,1,154,1,2,0,3,148,7,4,3,0,5,5,2,0,3,177,6,12,17,29,0,0,0,0,0,0,0,0,0,0,131,1,2,0,2,126,4,3,1,0,2,3,2,0,1,140,5,5,9,14,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,4,0,0,0,0,0,1,1,0,0,7,2,2,1,3,0,0,2,1,1,0,0,0,0,0,9,0,1,0,0,8,4,0,4,0,0,0,0,0,0,15,1,3,4,7
