agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Cooleemee Police Department,1987,North Carolina,1003,NC03002,27,4,11,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,13,1,4,0,0,0,0,0,13,1,3,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0
Cooleemee Police Department,1988,North Carolina,949,NC03002,30,2,9,0,0,0,0,0,10,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,6,0,3,0,2,0,2,0,7,1,3,0,1,0,0,0,6,1,3,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0
Cooleemee Police Department,1989,North Carolina,952,NC03002,25,1,4,1,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cooleemee Police Department,1990,North Carolina,971,NC03002,28,1,1,1,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4,1,1,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cooleemee Police Department,1991,North Carolina,986,NC03002,40,4,17,2,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,16,0,5,1,0,0,0,0,9,0,4,1,7,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,7,1,2,0,2,0,1,0,1,0,0,0,0,0
Cooleemee Police Department,1992,North Carolina,1001,NC03002,47,9,30,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,10,4,8,0,2,2,2,0,8,2,5,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,29,3,16,1,2,1,1,0,1,0,0,0,0,0,0,0
Cooleemee Police Department,1993,North Carolina,936,NC03002,36,1,16,1,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0,1,0,1,0,5,1,2,0,2,0,0,0,3,1,2,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,7,1,6,0,2,0,1,0,0,0,0,0,0,0
Cooleemee Police Department,1994,North Carolina,952,NC03002,29,0,14,1,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,4,1,4,0,1,0,1,0,0,0,2,0,2,0
Cooleemee Police Department,1995,North Carolina,909,NC03002,44,0,10,0,0,0,0,0,15,0,7,0,3,0,0,0,1,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,13,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Cooleemee Police Department,1996,North Carolina,925,NC03002,53,4,23,1,0,0,0,0,21,3,14,0,4,0,1,0,0,0,0,0,5,1,5,0,12,2,8,0,0,0,0,0,11,0,2,0,0,0,0,0,8,0,1,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,16,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0
