agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Greensburg Police,2014,Indiana,11800,IN01601,0,0,0,0,0,1,1,0,2,0,0,0,2,62,0,0,0,28,34,11,0,8,3,64,1,0,1,0,141,0,28,31,76,107,0,0,2,2,0,2,0,0,0,2,77,0,0,0,20,57,7,0,5,2,99,1,0,1,0,188,0,20,24,107,131,0,0,1,1,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,40,0,0,0,0,65,0,0,1,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greensburg Police,2013,Indiana,11675,IN01601,0,0,0,0,0,2,2,0,3,1,0,0,2,27,0,0,1,26,0,13,1,12,0,44,2,1,1,0,91,0,27,32,59,91,0,0,2,2,0,1,1,0,0,0,29,0,0,0,29,0,10,1,9,0,48,4,3,1,0,94,0,29,32,62,94,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,10,2,2,0,0,17,0,5,5,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greensburg Police,2012,Indiana,11617,IN01601,0,0,1,0,0,0,0,0,1,0,0,0,1,32,0,0,0,32,0,8,4,2,2,105,2,2,0,0,148,0,32,33,115,148,0,0,0,0,0,1,0,0,0,1,30,0,0,0,30,0,4,0,2,2,104,2,2,0,0,141,0,30,31,110,141,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,18,0,0,0,0,20,0,2,2,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greensburg Police,2011,Indiana,11551,IN01601,0,0,1,1,0,1,1,0,2,1,0,0,1,43,1,0,2,39,1,58,42,15,1,160,19,9,6,4,284,0,42,46,237,283,1,0,1,1,0,0,0,0,0,0,28,0,0,1,26,1,27,19,8,0,64,5,5,0,0,126,0,27,29,96,125,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,7,0,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
Greensburg Police,2010,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensburg Police,2009,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensburg Police,2008,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensburg Police,2007,Indiana,10570,IN01601,0,0,2,0,0,2,1,1,5,3,0,0,2,90,0,0,0,2,88,66,45,20,1,320,20,13,3,4,503,0,2,9,406,415,0,0,1,0,1,2,2,0,0,0,45,0,0,0,1,44,16,16,0,0,85,9,6,2,1,158,0,1,4,110,114,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,2,2,0,0,14,4,2,2,0,25,0,0,0,20,20,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0,4,0,1,2,2,4
Greensburg Police,2006,Indiana,10606,IN01601,0,0,0,0,0,1,0,1,5,0,1,0,4,56,1,1,1,0,53,69,50,6,13,274,14,5,7,2,419,0,3,9,357,366,0,0,1,0,1,3,0,1,0,2,33,1,0,1,0,31,10,7,3,0,65,2,2,0,0,114,0,2,6,77,83,0,0,0,0,0,1,0,0,0,1,10,0,0,0,0,10,2,2,0,0,17,0,0,0,0,30,0,0,1,19,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,5,0,0,1,4,5
Greensburg Police,2005,Indiana,10520,IN01601,0,0,0,0,0,0,0,0,3,2,0,0,1,74,0,0,0,8,66,84,84,0,0,277,10,5,5,0,448,0,8,11,371,382,0,0,0,0,0,2,1,0,0,1,35,0,0,0,2,33,10,10,0,0,48,7,4,3,0,102,0,2,4,65,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0,0,6,0,0,0,0,11,0,0,0,10,10,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,2,0,6,11,0,0,2,9,11
Greensburg Police,2004,Indiana,10431,IN01601,0,0,1,0,0,1,0,1,1,1,0,0,0,67,0,0,0,7,60,59,59,0,0,292,9,8,1,0,429,0,7,9,360,369,0,0,0,0,0,0,0,0,0,0,31,0,0,0,5,26,6,6,0,0,42,2,2,0,0,81,0,5,5,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,12,0,0,0,0,14,0,0,0,14,14,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,2,2,0,0,6,0,1,2,3,5
Greensburg Police,2003,Indiana,10221,IN01601,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,40,7,33,0,197,1,1,0,0,246,0,0,1,238,239,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,3,3,0,34,1,1,0,0,45,0,0,1,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,0,0,0,17,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greensburg Police,2002,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensburg Police,2001,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensburg Police,2000,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensburg Police,1999,Indiana,,IN01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
