agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Virginia Commonwealth University Police Dept.,2017,Virginia,0,VA13003,0,0,7,7,0,2,1,0,0,1,322,0,2,3,8,309,8,2,5,1,478,6,2,0,4,823,13,0,0,1,1,0,1,0,0,0,1,134,0,2,2,2,128,0,0,0,0,71,1,0,0,1,208,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2016,Virginia,0,VA13003,0,0,9,9,0,8,1,2,0,5,312,0,4,6,6,296,19,5,12,2,489,4,3,0,1,841,16,0,0,0,0,0,6,0,2,0,4,121,0,5,3,3,110,1,0,1,0,55,2,2,0,0,185,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2015,Virginia,0,VA13003,0,0,3,3,0,4,1,0,2,1,166,1,4,0,4,157,14,2,12,0,435,7,4,0,3,629,9,0,0,2,2,0,2,0,0,1,1,59,0,3,0,3,53,1,0,1,0,47,2,1,0,1,113,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2014,Virginia,0,VA13003,0,0,2,2,0,2,1,0,0,1,198,0,0,5,9,184,14,3,10,1,490,3,1,1,1,709,14,0,0,0,0,0,1,0,0,0,1,79,0,0,2,3,74,2,0,1,1,69,3,2,1,0,154,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2013,Virginia,0,VA13003,0,0,0,0,0,4,1,0,1,2,148,0,1,1,7,139,23,5,18,0,510,14,6,2,6,699,9,0,0,0,0,0,4,1,0,1,2,70,0,1,1,3,65,5,1,4,0,41,1,0,0,1,121,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2012,Virginia,0,VA13003,0,0,0,0,0,7,2,1,0,4,146,0,0,2,12,132,16,4,12,0,545,10,8,0,2,724,14,0,0,0,0,0,2,0,0,0,2,73,0,0,2,9,62,5,3,2,0,70,2,1,0,1,152,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2011,Virginia,0,VA13003,0,0,1,0,1,9,0,1,2,6,169,0,0,4,4,161,12,3,8,1,498,2,2,0,0,691,8,0,0,0,0,0,1,0,0,0,1,27,0,0,3,0,24,0,0,0,0,3,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2010,Virginia,0,VA13003,0,0,0,0,0,6,1,0,0,5,121,0,3,0,6,112,5,3,0,2,642,5,4,0,1,779,9,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,22,0,0,0,0,7,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2009,Virginia,0,VA13003,0,0,1,1,0,5,3,0,0,2,102,0,0,0,4,98,11,6,4,1,558,19,13,0,6,696,4,0,0,1,1,0,0,0,0,0,0,28,0,0,0,1,27,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Commonwealth University Police Dept.,2008,Virginia,0,VA13003,0,0,1,1,0,5,3,1,0,1,100,2,0,4,7,87,13,7,4,2,591,16,16,0,0,726,13,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
