agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
New Carrolton Police Department,2017,Maryland,12971,MD01739,0,0,6,1,0,1,1,0,16,7,2,4,3,80,3,4,2,16,55,66,25,40,1,158,33,21,12,0,355,25,0,0,1,1,0,1,0,0,0,1,44,2,3,2,8,29,10,5,4,1,23,0,0,0,0,79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2016,Maryland,12914,MD01739,0,0,4,0,0,1,1,0,18,8,0,5,5,90,1,2,7,26,54,34,18,13,3,156,18,5,13,0,317,36,0,0,0,0,0,2,0,0,0,2,47,0,1,3,14,29,9,2,5,2,18,0,0,0,0,76,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2015,Maryland,12847,MD01739,0,0,6,1,0,1,1,0,14,8,1,2,3,87,4,13,7,15,48,26,8,17,1,159,36,22,13,1,324,39,0,0,1,1,0,1,0,0,0,1,58,3,12,3,11,29,2,0,1,1,10,2,2,0,0,74,29,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
New Carrolton Police Department,2014,Maryland,12603,MD01739,0,0,0,2,0,2,2,0,13,9,0,2,2,86,4,13,25,22,22,47,32,14,1,229,33,17,14,2,412,64,1,0,0,0,0,1,0,0,1,0,45,2,6,16,11,10,10,6,4,0,22,0,0,0,0,79,35,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2013,Maryland,12456,MD01739,0,0,0,2,0,0,0,0,16,9,1,2,4,41,4,5,7,12,13,40,35,5,0,188,39,35,3,1,326,28,2,0,0,0,0,1,0,0,1,0,21,2,2,3,4,10,6,6,0,0,30,1,1,0,0,61,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,4,0,0,0,0,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
New Carrolton Police Department,2012,Maryland,12366,MD01739,0,0,2,0,0,0,0,0,21,14,1,0,6,47,1,5,2,1,38,55,54,0,1,135,22,21,0,1,280,9,0,0,0,0,0,0,0,0,0,0,38,1,6,2,2,27,8,8,0,0,33,0,0,0,0,79,11,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,4,4,0,0,5,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2011,Maryland,12250,MD01739,0,0,2,1,0,0,0,0,23,16,0,0,7,64,1,6,4,16,37,82,74,8,0,175,45,42,0,3,390,27,0,0,0,0,0,0,0,0,0,0,42,0,6,3,13,20,9,8,1,0,49,0,0,0,0,100,22,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,1,1,0,0,15,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2010,Maryland,12135,MD01739,0,0,0,0,0,5,3,2,42,30,1,2,9,71,5,7,1,18,40,92,59,29,4,296,65,65,0,0,571,31,0,0,1,0,1,1,0,0,0,1,35,3,3,1,8,20,9,3,4,2,26,0,0,0,0,72,15,0,0,0,0,0,1,0,0,0,1,9,2,0,0,2,5,3,1,2,0,14,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2009,Maryland,12445,MD01739,0,0,3,1,0,3,1,2,39,26,1,1,11,51,3,3,3,8,34,87,53,18,16,301,53,53,0,0,535,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2008,Maryland,12640,MD01739,0,0,2,0,0,3,2,1,36,24,1,0,11,64,4,4,3,14,39,117,81,19,17,186,56,54,1,1,462,25,0,0,0,0,0,0,0,0,0,0,30,1,3,1,8,17,3,1,2,0,11,2,2,0,0,46,13,0,0,0,0,0,0,0,0,0,0,10,1,0,1,1,7,1,0,1,0,6,2,2,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2007,Maryland,12712,MD01739,0,0,4,0,0,6,6,0,41,17,4,3,17,55,2,4,1,14,34,70,47,17,6,205,75,70,5,0,452,21,0,0,0,0,0,9,0,1,2,6,22,0,2,0,6,14,6,4,2,0,18,0,0,0,0,55,8,0,0,0,0,0,4,0,0,0,4,5,0,1,0,0,4,1,1,0,0,7,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Carrolton Police Department,2006,Maryland,12853,MD01739,0,0,3,0,0,2,1,1,9,7,1,1,0,45,1,2,2,25,15,45,29,9,7,130,52,42,10,0,283,30,0,0,0,0,0,0,0,0,0,0,20,0,0,1,14,5,4,3,1,0,11,1,1,0,0,36,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,4,4,0,0,8,1
