agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
State Police: Ontonagon County,2023,Michigan,0,MI66066,0,0,0,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,7,1,1,0,0,22,0,0,1,8,9,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,5,2,2,0,0,18,0,0,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2022,Michigan,0,MI66066,0,0,0,0,0,3,3,0,0,0,0,0,0,25,0,0,0,1,24,0,0,0,0,8,1,1,0,0,37,0,1,4,9,13,0,0,2,2,0,0,0,0,0,0,24,0,0,0,1,23,0,0,0,0,4,1,1,0,0,31,0,1,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2021,Michigan,0,MI66066,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,1,23,2,2,0,0,5,1,1,0,0,33,0,1,1,8,9,0,1,1,1,0,0,0,0,0,0,23,0,0,0,2,21,0,0,0,0,5,0,0,0,0,30,0,2,3,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2020,Michigan,0,MI66066,0,0,0,0,0,6,6,0,0,0,0,0,0,27,4,1,0,3,19,2,2,0,0,4,1,1,0,0,40,0,8,14,7,21,0,0,3,3,0,0,0,0,0,0,24,3,1,0,2,18,1,1,0,0,2,1,1,0,0,31,0,6,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2019,Michigan,0,MI66066,0,0,0,0,1,3,3,0,0,0,0,0,0,11,4,0,2,0,5,5,5,0,0,8,1,1,0,0,29,0,6,9,14,23,0,0,1,1,0,0,0,0,0,0,13,4,0,2,0,7,2,2,0,0,3,1,1,0,0,20,0,6,7,6,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2018,Michigan,0,MI66066,0,0,0,0,0,5,5,0,0,0,0,0,0,18,0,0,0,1,17,1,1,0,0,6,0,0,0,0,30,0,1,6,7,13,0,0,4,4,0,0,0,0,0,0,17,0,0,0,1,16,3,1,0,0,1,0,0,0,0,25,0,1,5,4,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2017,Michigan,0,MI66066,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,2,0,9,3,3,0,0,4,0,0,0,0,19,0,2,3,7,10,0,0,2,2,0,0,0,0,0,0,12,0,0,2,0,10,0,0,0,0,1,0,0,0,0,15,0,2,4,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2016,Michigan,0,MI66066,0,0,0,0,0,4,4,0,0,0,0,0,0,21,0,1,0,1,19,8,8,0,0,6,2,1,0,1,41,0,2,6,16,22,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,18,1,1,0,0,3,2,1,0,1,26,0,2,2,6,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2015,Michigan,0,MI66066,0,0,0,0,0,3,3,0,0,0,0,0,0,38,3,2,0,0,33,10,10,0,0,14,2,1,1,0,67,0,5,8,26,34,0,0,4,4,0,0,0,0,0,0,40,3,2,0,0,35,5,5,0,0,6,0,0,0,0,55,0,5,9,11,20,0,0,1,1,0,0,0,0,0,0,10,0,1,0,0,9,0,0,0,0,0,0,0,0,0,11,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police: Ontonagon County,2014,Michigan,0,MI66066,0,0,0,1,0,2,2,0,1,1,0,0,0,20,1,0,1,0,18,12,11,1,0,11,1,1,0,0,48,0,2,6,24,30,0,0,0,0,0,1,1,0,0,0,18,1,0,1,0,16,5,4,1,0,4,1,1,0,0,29,0,2,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
