agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
University of Texas - Galveston Medical Center Pol,2017,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,81,1,1,0,0,104,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
University of Texas - Galveston Medical Center Pol,2016,Texas,0,TX08410,0,0,0,0,0,1,0,0,0,1,30,0,0,2,1,27,4,1,3,0,106,1,0,1,0,142,3,0,0,0,0,0,1,0,0,0,1,23,0,0,1,1,21,1,0,1,0,17,0,0,0,0,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,7,0
University of Texas - Galveston Medical Center Pol,2015,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,0,0,0,0,109,5,3,1,1,149,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,0,0,0,0,16,4,2,1,1,48,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0
University of Texas - Galveston Medical Center Pol,2014,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,21,0,1,0,3,17,1,0,1,0,101,2,1,0,1,125,4,0,0,0,0,0,0,0,0,0,0,14,0,1,0,2,11,1,0,1,0,11,2,1,0,1,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
University of Texas - Galveston Medical Center Pol,2013,Texas,0,TX08410,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,12,2,2,0,0,88,3,2,0,1,106,0,0,0,0,0,0,1,0,0,0,1,11,0,0,0,0,11,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,7,1,1,0,0,10,0
University of Texas - Galveston Medical Center Pol,2012,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,77,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,7,0
University of Texas - Galveston Medical Center Pol,2011,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,1,0,1,0,101,1,0,0,1,115,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,14,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0
University of Texas - Galveston Medical Center Pol,2010,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,19,0,1,1,0,17,3,3,0,0,112,3,2,1,0,137,2,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,7,0,0,0,0,13,2,2,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,6,0
University of Texas - Galveston Medical Center Pol,2009,Texas,0,TX08410,0,0,0,0,0,1,0,0,1,0,15,0,0,1,1,13,1,1,0,0,97,0,0,0,0,114,2,0,0,0,0,0,1,0,0,1,0,8,0,0,0,1,7,0,0,0,0,8,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0
University of Texas - Galveston Medical Center Pol,2008,Texas,0,TX08410,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,1,0,1,0,160,4,2,1,1,201,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,13,2,1,1,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,12,1,1,0,0,16,0
