agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Sp: Worcester County,2017,Maryland,0,MD323SP,0,0,1,0,0,2,1,1,2,1,1,0,0,57,3,1,2,2,49,14,4,8,2,100,3,1,1,1,178,8,12,117,129,0,0,0,0,0,1,1,0,0,0,35,3,1,2,2,27,2,0,2,0,35,1,1,0,0,74,8,9,38,47,0,0,0,0,0,0,0,0,0,0,6,1,0,1,2,2,0,0,0,0,4,0,0,0,0,10,4,4,4,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,2,2
Sp: Worcester County,2016,Maryland,0,MD323SP,0,0,9,0,0,1,1,0,1,0,1,0,0,69,2,1,4,3,59,31,19,10,2,87,5,2,0,3,194,10,12,123,135,0,0,0,0,0,0,0,0,0,0,52,2,1,3,2,44,2,0,2,0,28,0,0,0,0,82,8,8,30,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,4,4
Sp: Worcester County,2015,Maryland,0,MD323SP,0,0,4,0,0,1,1,0,9,2,0,0,7,56,0,2,3,1,50,15,10,5,0,72,9,4,0,5,162,6,16,96,112,0,0,1,1,0,7,1,0,0,6,47,0,1,1,1,44,5,3,2,0,19,5,4,0,1,84,3,11,29,40,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,1,1,0,0,0,1,1,0,0,6,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,2
Sp: Worcester County,2014,Maryland,0,MD323SP,0,0,3,0,0,0,0,0,5,2,0,2,1,92,1,4,9,2,76,44,26,17,1,98,4,1,0,3,243,16,21,146,167,0,0,0,0,0,2,1,0,1,0,83,1,3,9,2,68,17,6,11,0,20,1,0,0,1,123,15,17,38,55,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,14,1,1,0,0,1,0,0,0,0,17,1,1,2,3,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,3,1,0,1,0,4,0,0,0,0,9,0,1,5,6
Sp: Worcester County,2013,Maryland,0,MD323SP,0,0,4,0,0,1,1,0,1,0,0,0,1,80,1,6,9,2,62,58,27,28,3,119,8,2,1,5,267,18,20,185,205,0,0,1,1,0,0,0,0,0,0,71,1,6,7,2,55,14,4,10,0,53,5,2,0,3,144,16,17,72,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,5,0,0,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,4,0,1,3,4
Sp: Worcester County,2012,Maryland,0,MD323SP,0,0,5,0,0,0,0,0,3,1,0,1,1,93,1,6,3,5,78,63,29,32,2,132,10,1,2,7,301,15,18,205,223,0,0,1,1,0,0,0,0,0,0,73,1,4,3,3,62,11,3,7,1,49,3,1,1,1,137,11,12,63,75,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,10,0,3,7,10
Sp: Worcester County,2011,Maryland,0,MD323SP,0,0,2,0,0,0,0,0,0,0,0,0,0,83,1,5,11,7,59,65,41,17,7,139,19,10,3,6,306,24,24,223,247,0,0,0,0,0,0,0,0,0,0,65,0,4,10,6,45,13,4,7,2,32,7,5,1,1,117,20,20,52,72,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,4,2,0,2,0,1,0,0,0,0,10,3,3,3,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,10,0,1,9,10
Sp: Worcester County,2010,Maryland,0,MD323SP,0,0,4,0,0,3,2,1,3,1,0,1,1,111,2,1,6,4,98,44,25,15,4,144,15,4,4,7,320,13,19,203,222,0,0,2,1,1,0,0,0,0,0,94,2,1,4,3,84,11,6,4,1,50,4,2,0,2,161,10,12,65,77,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,6,0,0,0,0,13,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Worcester County,2009,Maryland,0,MD323SP,0,0,3,0,0,1,1,0,2,2,0,0,0,144,4,6,21,12,101,53,24,26,3,185,18,3,4,11,403,43,46,256,302,0,0,1,1,0,1,1,0,0,0,116,3,6,12,9,86,10,2,7,1,66,5,2,2,1,199,30,32,81,113,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,5,0,0,0,0,12,2,1,0,1,20,1,1,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Worcester County,2008,Maryland,0,MD323SP,0,0,3,1,0,1,1,0,3,2,0,0,1,103,3,2,9,7,82,60,27,28,5,157,18,6,4,8,343,21,26,235,261,1,0,0,0,0,0,0,0,0,0,81,3,2,7,6,63,10,3,7,0,52,3,0,0,3,147,18,19,65,84,0,0,0,0,0,0,0,0,0,0,10,0,2,4,0,4,2,1,1,0,4,1,0,0,1,17,6,6,7,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,4,4
