agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Scarborough Police Department,2023,Maine,23722,ME00307,0,0,0,0,0,1,1,0,3,3,0,0,0,101,1,0,5,3,92,24,11,10,3,277,6,5,1,0,412,0,9,13,307,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2022,Maine,22913,ME00307,0,0,0,0,0,6,6,0,2,0,0,1,1,138,0,1,6,1,130,30,13,13,4,330,6,5,0,1,512,0,8,16,366,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2021,Maine,21810,ME00307,0,0,0,0,0,2,2,0,0,0,0,0,0,101,0,1,1,3,96,20,7,9,4,319,3,3,0,0,445,0,5,7,342,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2020,Maine,21237,ME00307,0,0,0,0,0,5,5,0,4,3,0,0,1,123,0,1,3,1,118,9,2,5,2,252,12,11,0,1,405,0,5,14,273,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2019,Maine,20542,ME00307,0,0,0,1,0,3,3,0,0,0,0,0,0,110,0,0,1,6,103,15,4,10,1,234,4,4,0,0,367,0,7,11,253,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2018,Maine,20072,ME00307,0,0,0,0,0,3,2,1,0,0,0,0,0,119,1,1,1,1,115,15,7,3,5,232,8,6,0,2,377,0,4,7,255,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2017,Maine,20215,ME00307,0,0,0,0,0,5,5,0,2,0,1,0,1,126,0,0,1,0,125,20,8,7,5,277,8,5,2,1,438,0,1,8,305,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2016,Maine,19851,ME00307,0,0,0,0,0,1,1,0,4,1,0,0,3,136,1,1,3,3,128,36,17,15,4,354,7,5,1,1,538,0,8,13,397,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2015,Maine,19682,ME00307,0,0,0,0,0,5,5,0,2,0,0,1,1,132,0,0,2,2,128,32,15,13,4,344,3,1,1,1,518,0,4,11,379,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2014,Maine,19454,ME00307,0,0,0,0,0,3,3,0,4,0,0,1,3,144,0,0,2,6,136,48,22,21,5,316,6,6,0,0,521,0,8,15,370,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough Police Department,2013,Maine,19252,ME00307,0,0,0,0,0,7,7,0,2,0,0,0,2,135,2,0,1,5,127,66,25,34,7,344,11,8,2,1,565,0,8,17,421,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
