agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Brown County Sheriff's Office,2017,Wisconsin,97218,WI00500,0,0,0,0,1,18,17,1,2,0,1,0,1,356,2,11,10,33,300,115,59,54,2,723,19,18,0,1,1234,56,0,1,4,4,0,1,0,1,0,0,209,2,10,6,23,168,9,3,5,1,300,3,3,0,0,527,41,0,0,0,0,0,0,0,0,0,0,19,1,3,0,2,13,1,0,1,0,47,1,1,0,0,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown County Sheriff's Office,2016,Wisconsin,95690,WI00500,0,0,0,2,4,17,17,0,3,0,2,1,0,244,1,7,13,24,199,156,79,57,20,653,57,49,3,5,1136,45,1,0,1,1,0,1,0,0,1,0,105,1,2,4,9,89,29,13,5,11,262,10,8,1,1,409,16,0,0,0,0,0,0,0,0,0,0,17,0,0,0,2,15,1,0,1,0,26,3,2,0,1,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown County Sheriff's Office,2015,Wisconsin,92833,WI00500,0,0,0,0,0,4,4,0,4,1,0,2,1,126,0,0,57,3,66,105,69,36,0,729,35,35,0,0,1003,60,0,0,4,4,0,0,0,0,0,0,69,0,0,34,3,32,10,6,4,0,234,17,17,0,0,334,37,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,20,2,2,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown County Sheriff's Office,2014,Wisconsin,91651,WI00500,0,0,0,0,0,11,11,0,6,4,0,1,1,98,0,0,56,4,38,132,101,31,0,837,26,26,0,0,1110,60,0,0,9,9,0,2,1,0,0,1,95,1,0,60,4,30,38,29,9,0,355,11,11,0,0,510,65,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,4,10,9,1,0,38,1,1,0,0,61,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0
Brown County Sheriff's Office,2013,Wisconsin,91040,WI00500,0,0,0,0,0,9,9,0,11,6,0,3,2,103,0,0,61,3,39,190,142,48,0,885,26,26,0,0,1224,64,0,0,16,16,0,5,4,0,1,0,39,0,0,22,4,13,25,10,15,0,235,10,10,0,0,330,26,0,0,3,3,0,0,0,0,0,0,5,0,0,4,0,1,2,1,1,0,21,5,5,0,0,36,4,0,0,7,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,11,1
Brown County Sheriff's Office,2012,Wisconsin,88514,WI00500,0,0,0,1,0,11,10,1,7,3,0,3,1,151,0,0,78,18,55,202,149,53,0,539,24,23,1,0,935,96,0,0,23,23,0,1,1,0,0,0,37,0,0,0,13,24,39,25,13,1,70,8,6,1,1,178,13,0,0,8,8,0,0,0,0,0,0,4,0,0,0,0,4,3,1,2,0,24,2,2,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,4,0
Brown County Sheriff's Office,2011,Wisconsin,NA,WI00500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown County Sheriff's Office,2010,Wisconsin,87277,WI00500,0,0,0,0,0,16,16,0,0,0,0,0,0,222,0,0,11,17,194,220,111,106,3,793,15,15,0,0,1266,28,0,0,3,3,0,0,0,0,0,0,183,0,0,11,11,161,22,10,12,0,375,4,4,0,0,587,22,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,6,2,4,0,74,1,1,0,0,101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1
Brown County Sheriff's Office,2009,Wisconsin,88757,WI00500,0,0,0,1,0,15,15,0,0,0,0,0,0,214,0,0,4,24,186,227,121,101,5,824,29,29,0,0,1310,28,1,0,9,9,0,0,0,0,0,0,175,0,0,3,17,155,25,12,13,0,297,8,8,0,0,515,20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,12,5,1,4,0,66,4,4,0,0,89,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Brown County Sheriff's Office,2008,Wisconsin,76984,WI00500,0,0,0,0,0,14,14,0,4,0,0,0,4,202,0,0,2,26,174,289,136,138,15,1011,42,42,0,0,1562,28,0,0,4,4,0,2,0,0,0,2,163,0,0,1,19,143,37,16,20,1,369,13,13,0,0,588,20,0,0,2,2,0,0,0,0,0,0,40,0,0,0,5,35,10,3,6,1,108,8,8,0,0,168,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
