agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Ramah-Navajo Tribal Police Department,2023,New Mexico,0,NM01704,0,0,0,2,0,0,0,0,0,0,0,0,0,28,1,1,1,4,21,1,0,1,0,2,0,0,0,0,33,0,7,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramah-Navajo Tribal Police Department,2022,New Mexico,0,NM01704,0,0,0,0,0,0,0,0,1,0,0,0,1,32,0,2,3,0,27,0,0,0,0,1,0,0,0,0,34,0,5,6,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramah-Navajo Tribal Police Department,2021,New Mexico,0,NM01704,0,0,0,0,2,0,0,0,0,0,0,0,0,54,0,1,9,0,44,4,3,1,0,1,0,0,0,0,61,0,10,10,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramah-Navajo Tribal Police Department,2020,New Mexico,,NM01704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramah-Navajo Tribal Police Department,2019,New Mexico,0,NM01704,0,0,11,0,0,2,2,0,0,0,0,0,0,84,1,6,9,6,62,8,6,0,2,7,0,0,0,0,101,0,22,24,15,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Ramah-Navajo Tribal Police Department,2018,New Mexico,0,NM01704,0,0,21,0,0,2,2,0,0,0,0,0,0,75,3,6,8,5,53,8,4,2,2,11,2,2,0,0,98,0,22,24,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Ramah-Navajo Tribal Police Department,2017,New Mexico,0,NM01704,0,0,4,1,0,0,0,0,0,0,0,0,0,43,1,4,0,13,25,6,5,0,1,0,0,0,0,0,50,0,18,19,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Ramah-Navajo Tribal Police Department,2016,New Mexico,0,NM01704,0,0,11,0,0,0,0,0,0,0,0,0,0,13,0,3,2,1,7,4,1,3,0,0,0,0,0,0,17,0,6,6,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Ramah-Navajo Tribal Police Department,2015,New Mexico,0,NM01704,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramah-Navajo Tribal Police Department,2014,New Mexico,0,NM01704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
