agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Honey Brook Township Police Honey Brook,2007,Pennsylvania,7140,PA01542,0,0,2,0,0,1,1,0,0,0,0,0,0,4,0,0,0,2,2,3,0,3,0,4,0,0,0,0,12,0,2,3,7,10,0,0,1,1,0,0,0,0,0,0,3,0,0,0,2,1,1,0,1,0,1,0,0,0,0,6,0,2,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Brook Township Police Honey Brook,2006,Pennsylvania,,PA01542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Brook Township Police Honey Brook,2005,Pennsylvania,,PA01542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey Brook Township Police Honey Brook,2004,Pennsylvania,6636,PA01542,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,2,0,11,5,4,1,0,44,4,1,1,2,67,0,3,3,53,56,0,0,0,0,0,0,0,0,0,0,13,1,0,2,0,10,2,2,0,0,12,0,0,0,0,27,0,3,3,14,17,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,0,0,0,0,4,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Brook Township Police Honey Brook,2003,Pennsylvania,6486,PA01542,0,0,2,0,0,0,0,0,0,0,0,0,0,17,2,1,0,4,10,6,5,0,1,29,2,2,0,0,54,0,7,7,37,44,0,0,0,0,0,0,0,0,0,0,16,2,1,0,3,10,0,0,0,0,7,1,1,0,0,24,0,6,6,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Brook Township Police Honey Brook,2002,Pennsylvania,6305,PA01542,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,10,6,5,1,0,18,3,3,0,0,38,0,1,1,27,28,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,10,0,0,0,0,9,2,2,0,0,22,0,1,1,11,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Brook Township Police Honey Brook,2001,Pennsylvania,6281,PA01542,0,0,2,0,0,0,0,0,0,0,0,0,0,28,0,0,4,2,22,6,3,2,1,44,5,5,0,0,83,0,6,6,55,61,0,0,0,0,0,0,0,0,0,0,28,0,0,4,2,22,2,2,0,0,17,3,3,0,0,50,0,6,6,22,28,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,0,4,0,0,0,0,7,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Brook Township Police Honey Brook,2000,Pennsylvania,6278,PA01542,0,0,1,0,0,0,0,0,1,0,0,0,1,20,0,1,1,6,12,4,1,3,0,34,6,3,1,2,65,0,8,9,44,53,0,0,0,0,0,0,0,0,0,0,19,0,1,0,6,12,1,0,1,0,10,2,2,0,0,32,0,7,7,13,20,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,11,0,0,0,0,1,1,1,0,0,14,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Honey Brook Township Police Honey Brook,1999,Pennsylvania,5926,PA01542,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,8,5,2,2,1,19,3,3,0,0,43,0,8,8,27,35,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,7,0,0,0,0,5,1,1,0,0,19,0,6,6,6,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,1,1,1,0,0,5,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honey Brook Township Police Honey Brook,1998,Pennsylvania,,PA01542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
