agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Vienna Police Department,2023,Missouri,579,MO06304,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,3,0,0,6,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna Police Department,2022,Missouri,527,MO06304,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,0,1,5,0,0,0,0,10,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna Police Department,2021,Missouri,599,MO06304,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,7,0,0,0,0,10,0,0,1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna Police Department,2020,Missouri,591,MO06304,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,3,3,3,0,0,7,2,1,1,0,17,0,2,2,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna Police Department,2019,Missouri,,MO06304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vienna Police Department,2018,Missouri,588,MO06304,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1,3,5,4,0,4,0,12,0,0,0,0,25,0,4,4,16,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,2,0,0,0,0,5,0,0,0,4,4
Vienna Police Department,2017,Missouri,588,MO06304,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0,0,0,0,10,2,1,0,1,17,0,0,0,0,30,0,0,1,19,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,1,1,1,2
Vienna Police Department,2016,Missouri,594,MO06304,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,3,1,0,22,1,0,0,1,37,0,0,0,27,27,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,6,0,0,1,4,5
Vienna Police Department,2015,Missouri,596,MO06304,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,5,0,17,2,2,0,0,30,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vienna Police Department,2014,Missouri,601,MO06304,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,11,6,4,2,0,17,2,2,0,0,37,0,1,1,25,26,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,2,2,0,0,1,0,0,0,0,8,0,0,2,3,5
