agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Moriarty Police Department,2022,New Mexico,1973,NM03003,0,0,0,0,0,0,0,0,2,1,1,0,0,22,1,0,3,0,18,19,14,5,0,47,21,13,4,4,111,0,4,6,87,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moriarty Police Department,2021,New Mexico,1829,NM03003,0,0,0,0,0,0,0,0,2,0,0,1,1,27,5,3,7,0,12,22,11,11,0,38,10,10,0,0,99,0,15,17,70,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moriarty Police Department,2020,New Mexico,,NM03003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moriarty Police Department,2019,New Mexico,1792,NM03003,0,0,0,0,0,2,2,0,0,0,0,0,0,13,1,1,0,1,10,20,14,6,0,25,9,5,1,3,69,0,3,5,54,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moriarty Police Department,2018,New Mexico,1777,NM03003,0,0,0,0,0,0,0,0,1,0,0,0,1,15,0,0,3,0,12,18,13,5,0,28,8,5,2,1,70,0,3,4,54,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moriarty Police Department,2017,New Mexico,1766,NM03003,0,0,0,0,0,1,0,1,5,4,0,1,0,14,2,1,1,1,9,17,10,7,0,49,14,12,0,2,100,0,5,11,80,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moriarty Police Department,2016,New Mexico,1786,NM03003,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,2,0,0,6,32,6,26,0,36,9,8,0,1,86,0,2,3,77,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,0,0,1,7,0,0,0,7,7
Moriarty Police Department,2015,New Mexico,1800,NM03003,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,15,0,15,0,34,3,3,0,0,54,0,0,1,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,6,0,0,0,6,6
Moriarty Police Department,2014,New Mexico,1818,NM03003,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,19,0,19,0,25,5,3,1,1,56,0,1,1,49,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Moriarty Police Department,2013,New Mexico,1855,NM03003,0,0,0,0,0,1,1,0,1,1,0,0,0,10,0,0,1,0,9,30,0,30,0,51,3,3,0,0,96,0,1,3,84,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
