agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Medical University of South Carolina Public Safety,2017,South Carolina,0,SC01009,0,0,0,0,0,3,3,0,1,0,0,0,1,33,0,0,1,3,29,2,0,2,0,103,2,2,0,0,144,4,0,0,0,0,0,1,0,0,0,1,27,0,0,0,2,25,3,0,3,0,25,1,1,0,0,57,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2016,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,0,0,0,0,0,45,0,0,1,0,44,1,0,1,0,96,5,2,0,3,148,1,0,0,2,2,0,0,0,0,0,0,31,0,0,1,0,30,0,0,0,0,15,3,2,0,1,51,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2015,South Carolina,0,SC01009,0,0,0,0,0,3,3,0,0,0,0,0,0,25,0,0,0,1,24,6,0,6,0,102,2,2,0,0,138,1,0,0,1,1,0,0,0,0,0,0,19,0,0,0,1,18,0,0,0,0,9,1,1,0,0,30,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2014,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,36,0,0,0,0,101,0,0,0,0,139,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,14,0,0,0,0,10,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2013,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,0,0,0,0,0,32,0,0,0,0,32,2,0,2,0,141,6,4,0,2,182,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,1,0,1,0,9,1,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2012,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,2,1,1,51,0,0,0,0,155,0,0,0,0,210,4,0,0,0,0,0,0,0,0,0,0,26,0,0,1,1,24,0,0,0,0,18,0,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2011,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,1,0,0,0,1,48,0,0,0,1,47,2,0,2,0,154,0,0,0,0,205,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,40,1,0,1,0,13,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2010,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1,1,58,0,0,0,0,163,1,1,0,0,224,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,1,30,2,1,1,0,13,0,0,0,0,46,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2009,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,2,36,8,0,8,0,193,1,0,0,1,241,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,7,0,7,0,6,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University of South Carolina Public Safety,2008,South Carolina,0,SC01009,0,0,0,0,0,1,0,1,1,0,0,0,1,30,0,0,1,2,27,2,1,1,0,196,0,0,0,0,230,3,0,0,0,0,0,1,0,0,0,1,5,0,0,1,2,2,0,0,0,0,5,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
