agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Medical University Of South Carolina Public Safety,2023,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,2,1,0,0,1,88,0,0,1,5,82,3,0,3,0,81,4,2,0,2,179,0,6,9,88,97,0,0,0,0,0,2,1,0,0,1,38,0,0,1,3,34,0,0,0,0,7,0,0,0,0,47,0,4,6,7,13,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2022,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,2,1,0,0,1,55,0,1,2,3,49,3,0,3,0,79,6,3,0,3,145,0,6,8,88,96,0,0,0,0,0,0,0,0,0,0,34,0,1,2,2,29,1,0,1,0,6,3,1,0,2,44,0,5,5,10,15,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,7,0,0,0,0,1,0,0,0,0,9,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2021,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,1,0,0,0,1,96,1,0,2,5,88,5,1,4,0,97,13,8,2,3,213,0,8,10,115,125,0,0,1,1,0,1,0,0,0,1,46,1,0,3,2,40,1,0,1,0,10,1,1,0,0,60,0,6,8,12,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2020,South Carolina,0,SC01009,0,0,0,0,0,2,2,0,1,0,0,0,1,88,0,0,4,4,80,2,1,1,0,87,9,4,1,4,189,0,8,11,98,109,0,0,1,1,0,1,0,0,0,1,65,0,0,3,4,58,1,1,0,0,16,2,1,0,1,86,0,7,9,19,28,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,0,0,0,1,1,0,0,1,6,0,3,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2019,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,1,0,0,0,1,80,0,0,0,3,77,2,1,1,0,109,3,2,0,1,196,0,3,5,114,119,0,0,1,1,0,1,0,0,0,1,64,0,0,0,3,61,2,1,1,0,17,0,0,0,0,85,0,3,5,19,24,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2018,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,1,0,0,0,1,68,0,0,1,3,64,4,0,4,0,95,3,1,0,2,172,0,4,6,102,108,0,0,0,0,0,1,0,0,0,1,55,0,0,0,3,52,4,0,4,0,18,2,1,0,1,80,0,3,4,24,28,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,2,0,0,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2017,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,1,0,0,0,1,38,0,0,1,3,34,2,0,2,0,109,2,2,0,0,153,0,4,6,113,119,0,0,0,0,0,1,0,0,0,1,32,0,0,0,2,30,6,0,6,0,25,1,1,0,0,65,0,2,3,32,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2016,South Carolina,0,SC01009,0,0,0,0,0,1,1,0,0,0,0,0,0,45,0,0,1,0,44,1,0,1,0,96,5,2,0,3,148,0,1,2,102,104,0,0,2,2,0,0,0,0,0,0,31,0,0,1,0,30,0,0,0,0,15,3,2,0,1,51,0,1,3,18,21,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2015,South Carolina,0,SC01009,0,0,0,0,0,3,3,0,0,0,0,0,0,25,0,0,0,1,24,6,0,6,0,102,2,2,0,0,138,0,1,4,110,114,0,0,1,1,0,0,0,0,0,0,19,0,0,0,1,18,0,0,0,0,9,1,1,0,0,30,0,1,2,10,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical University Of South Carolina Public Safety,2014,South Carolina,0,SC01009,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,36,0,0,0,0,101,0,0,0,0,139,0,2,2,101,103,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,14,0,0,0,0,10,0,0,0,0,26,0,2,2,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
