agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Eveleth Police Department,2023,Minnesota,3434,MN06908,0,0,0,0,0,1,1,0,1,0,0,0,1,42,0,1,6,3,32,14,5,9,0,71,12,8,1,3,141,0,10,12,97,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eveleth Police Department,2022,Minnesota,3434,MN06908,0,0,0,0,0,3,3,0,1,0,1,0,0,42,1,5,1,2,33,22,19,3,0,89,9,5,0,4,166,0,9,13,120,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eveleth Police Department,2021,Minnesota,3519,MN06908,0,0,0,0,0,2,2,0,0,0,0,0,0,64,2,3,2,1,56,14,12,2,0,82,10,7,0,3,172,0,8,10,106,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eveleth Police Department,2020,Minnesota,3553,MN06908,0,0,0,0,0,2,2,0,1,0,0,1,0,52,2,1,5,2,42,30,18,11,1,70,3,3,0,0,158,0,10,13,103,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eveleth Police Department,2019,Minnesota,3582,MN06908,0,0,0,0,0,5,5,0,1,1,0,0,0,25,0,0,2,3,20,20,9,11,0,81,7,5,0,2,139,0,5,11,108,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Eveleth Police Department,2018,Minnesota,3609,MN06908,0,0,0,0,0,0,0,0,1,1,0,0,0,25,0,0,2,3,20,20,12,8,0,58,22,21,0,1,126,0,5,6,100,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Eveleth Police Department,2017,Minnesota,3636,MN06908,0,0,0,0,0,3,2,1,0,0,0,0,0,26,1,0,0,5,20,20,15,5,0,111,7,7,0,0,167,0,6,9,138,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,2,2
Eveleth Police Department,2016,Minnesota,3665,MN06908,0,0,0,0,0,2,2,0,1,0,0,1,0,25,0,0,0,1,24,41,25,16,0,124,8,8,0,0,201,0,1,4,173,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Eveleth Police Department,2015,Minnesota,3694,MN06908,0,0,2,0,0,1,1,0,0,0,0,0,0,18,0,0,2,3,13,31,19,12,0,89,12,12,0,0,151,0,5,6,132,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eveleth Police Department,2014,Minnesota,3693,MN06908,0,0,0,0,0,3,2,1,1,1,0,0,0,41,0,0,5,4,32,43,22,21,0,89,13,13,0,0,190,0,9,13,145,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,4,0,0,0,4,4
