agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Mexico Police Department,2017,Maine,2584,ME00903,0,0,3,3,0,0,0,0,0,0,95,0,0,1,3,91,24,6,12,6,136,0,0,0,0,258,4,0,0,0,0,0,0,0,0,0,0,28,0,0,1,3,24,5,1,3,1,17,0,0,0,0,50,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,14,0,0,0,0,14,3,1,2,0,12,2,2,0,0,32,0
Mexico Police Department,2016,Maine,2590,ME00903,0,0,7,4,3,2,1,0,0,1,109,0,0,1,4,104,44,7,23,14,118,1,1,0,0,281,5,0,0,3,1,2,1,1,0,0,0,33,0,0,0,4,29,7,1,4,2,13,1,1,0,0,58,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,18,0,0,0,0,18,2,0,2,0,23,1,1,0,0,48,0
Mexico Police Department,2015,Maine,2594,ME00903,0,0,10,8,2,1,0,0,0,1,97,0,0,0,2,95,34,12,20,2,155,2,2,0,0,299,2,0,0,1,1,0,0,0,0,0,0,34,0,0,0,2,32,5,4,1,0,28,0,0,0,0,68,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,2,0,0,0,0,0,20,0,0,0,0,20,1,1,0,0,10,5,5,0,0,40,0
Mexico Police Department,2014,Maine,2611,ME00903,0,0,12,8,4,1,0,0,0,1,65,4,0,0,1,60,27,9,15,3,128,2,2,0,0,235,5,0,0,1,1,0,0,0,0,0,0,27,4,0,0,1,22,4,2,2,0,14,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26,0,0,0,0,9,3,3,0,0,39,0
Mexico Police Department,2013,Maine,2633,ME00903,0,0,2,1,1,0,0,0,0,0,32,0,0,1,0,31,51,17,30,4,75,3,3,0,0,163,1,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,22,10,4,6,0,15,1,1,0,0,49,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,2,0,0,0,0,0,58,0,0,0,0,58,6,0,4,2,26,0,0,0,0,93,0
Mexico Police Department,2012,Maine,2677,ME00903,0,0,5,4,1,0,0,0,0,0,50,0,1,0,1,48,45,15,25,5,138,6,0,0,6,244,2,0,0,3,2,1,0,0,0,0,0,39,0,1,0,1,37,9,3,5,1,35,0,0,0,0,86,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,69,0,0,0,0,69,5,0,4,1,50,2,2,0,0,128,0
Mexico Police Department,2011,Maine,2681,ME00903,0,0,2,1,1,1,0,0,0,1,56,0,0,0,1,55,29,8,11,10,70,1,1,0,0,159,1,0,0,0,0,0,1,0,0,0,1,36,0,0,0,1,35,5,2,3,0,27,1,1,0,0,70,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63,6,2,4,0,52,3,3,0,0,124,0
Mexico Police Department,2010,Maine,2681,ME00903,0,0,0,0,0,1,1,0,0,0,44,0,1,0,0,43,25,6,15,4,83,0,0,0,0,153,1,0,0,0,0,0,0,0,0,0,0,31,0,1,0,0,30,18,3,15,0,41,0,0,0,0,90,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62,9,1,8,0,46,4,4,0,0,121,0
Mexico Police Department,2009,Maine,2856,ME00903,0,0,2,2,0,1,0,0,0,1,41,0,0,1,1,39,28,12,14,2,91,2,2,0,0,165,2,0,0,0,0,0,1,0,0,0,1,29,0,0,1,1,27,3,3,0,0,13,1,1,0,0,47,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,55,0,0,0,0,55,3,0,3,0,33,5,4,1,0,97,0
Mexico Police Department,2008,Maine,2872,ME00903,0,0,3,3,0,0,0,0,0,0,43,0,0,0,0,43,26,8,14,4,89,4,3,0,1,165,0,0,0,1,1,0,0,0,0,0,0,35,0,0,0,0,35,2,0,2,0,12,3,3,0,0,53,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,55,0,0,0,0,55,6,0,4,2,36,4,4,0,0,102,0
