agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Doniphan Police Department,2023,Missouri,1792,MO09101,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,2,12,6,2,4,0,32,6,5,0,1,60,0,4,4,44,48,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,1,0,0,5,2,2,0,0,12,0,2,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan Police Department,2022,Missouri,1703,MO09101,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,0,12,4,4,0,0,40,1,1,0,0,59,0,2,2,45,47,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,3,0,0,0,0,6,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan Police Department,2021,Missouri,1911,MO09101,0,0,0,0,0,2,2,0,0,0,0,0,0,30,0,1,1,2,26,7,4,3,0,61,4,3,1,0,104,0,4,6,72,78,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,0,0,0,0,4,2,1,1,0,12,0,1,1,6,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan Police Department,2020,Missouri,1907,MO09101,0,0,0,1,0,0,0,0,0,0,0,0,0,40,2,2,2,1,33,9,3,5,1,97,10,9,0,1,157,0,7,8,116,124,1,0,0,0,0,0,0,0,0,0,6,2,2,0,0,2,0,0,0,0,1,1,1,0,0,9,0,4,5,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan Police Department,2019,Missouri,,MO09101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doniphan Police Department,2018,Missouri,,MO09101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doniphan Police Department,2017,Missouri,1990,MO09101,0,0,0,0,0,3,3,0,0,0,0,0,0,102,1,1,5,41,54,19,11,8,0,114,5,3,2,0,243,0,48,51,138,189,0,0,2,2,0,0,0,0,0,0,81,0,1,4,28,48,6,4,2,0,34,0,0,0,0,123,0,33,35,40,75,0,0,0,0,0,0,0,0,0,0,14,0,0,1,13,0,0,0,0,0,3,0,0,0,0,17,0,14,14,3,17,0,0,1,1,0,1,0,0,0,1,10,0,0,1,3,6,84,10,23,51,12,9,3,6,0,117,0,4,6,105,111
Doniphan Police Department,2016,Missouri,1990,MO09101,0,0,0,0,0,3,3,0,3,3,0,0,0,107,0,2,1,34,70,26,10,14,2,129,2,0,2,0,270,0,37,43,157,200,0,0,1,1,0,2,2,0,0,0,90,0,1,1,24,64,3,1,2,0,38,2,0,2,0,136,0,26,29,43,72,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,5,0,0,0,0,0,0,0,0,0,10,0,5,5,0,5,0,0,2,1,1,0,0,0,0,0,8,0,1,0,0,7,48,6,35,7,13,3,1,2,0,74,0,1,3,64,67
Doniphan Police Department,2015,Missouri,2003,MO09101,0,0,0,0,0,3,3,0,0,0,0,0,0,70,2,4,7,17,40,12,4,7,1,117,4,2,2,0,206,0,30,33,133,166,0,0,2,2,0,0,0,0,0,0,55,2,3,5,13,32,4,1,3,0,56,1,0,1,0,118,0,23,25,61,86,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,3,3,0,0,0,0,0,0,18,0,0,2,3,13,12,4,7,1,15,1,1,0,0,49,0,5,8,28,36
Doniphan Police Department,2014,Missouri,2008,MO09101,0,0,0,1,0,3,2,1,0,0,0,0,0,97,4,5,7,6,75,16,13,3,0,164,1,0,0,1,282,0,22,26,181,207,1,0,2,2,0,0,0,0,0,0,40,2,2,2,3,31,2,1,1,0,53,0,0,0,0,98,0,9,12,55,67,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,7,0,0,0,0,12,0,0,0,0,21,0,2,2,12,14,0,0,1,1,0,0,0,0,0,0,7,1,0,1,0,5,8,0,7,1,20,5,3,1,1,41,0,2,3,33,36
