agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Gonzales Police Department,2017,Louisiana,11012,LA00302,0,0,3,3,0,15,7,2,1,5,271,37,10,14,13,197,50,19,23,8,665,37,30,2,5,1041,74,0,0,1,1,0,4,1,0,1,2,135,28,4,10,7,86,5,2,3,0,172,4,4,0,0,321,49,0,0,0,0,0,0,0,0,0,0,14,0,2,0,1,11,1,0,1,0,11,1,1,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2016,Louisiana,10860,LA00302,1,0,7,7,0,17,12,0,0,5,253,9,7,5,7,225,64,27,35,2,791,44,33,7,4,1177,28,1,0,2,2,0,5,4,0,0,1,137,7,6,4,5,115,11,6,4,1,298,7,7,0,0,461,22,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,32,2,2,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2015,Louisiana,10624,LA00302,1,0,6,5,1,11,6,0,1,4,234,13,4,8,9,200,81,46,25,10,826,24,21,2,1,1183,34,0,0,1,1,0,2,1,0,0,1,95,7,3,4,4,77,11,4,6,1,368,3,3,0,0,480,18,0,0,0,0,0,0,0,0,0,0,19,2,1,0,0,16,6,3,3,0,30,2,2,0,0,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2014,Louisiana,10426,LA00302,0,0,3,3,0,13,8,0,2,3,226,16,7,7,6,190,91,49,37,5,597,27,22,5,0,957,36,0,0,1,1,0,3,1,0,1,1,53,2,1,2,0,48,4,2,2,0,152,4,4,0,0,217,5,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,1,0,0,0,0,15,2,2,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2013,Louisiana,10301,LA00302,0,0,5,4,1,16,10,1,0,5,256,16,8,8,13,211,63,28,34,1,686,25,19,1,5,1051,45,0,0,1,0,1,3,1,0,0,2,159,6,7,2,9,135,14,6,8,0,285,1,1,0,0,463,24,0,0,1,0,1,0,0,0,0,0,15,0,0,0,1,14,5,3,2,0,30,0,0,0,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2012,Louisiana,10095,LA00302,0,0,2,0,0,11,0,0,0,0,194,0,0,0,0,194,72,0,0,0,650,5,0,0,0,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2011,Louisiana,9870,LA00302,1,0,6,6,0,3,1,2,0,0,307,3,5,7,18,274,62,23,33,6,635,16,14,2,0,1030,33,1,0,3,3,0,3,1,2,0,0,216,1,2,5,12,196,14,5,9,0,282,4,3,1,0,523,20,0,0,2,2,0,0,0,0,0,0,47,0,1,0,0,46,1,0,1,0,35,0,0,0,0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales Police Department,2010,Louisiana,9781,LA00302,0,0,0,0,0,1,0,0,1,0,256,6,1,0,1,248,19,12,6,1,378,17,17,0,0,671,8,0,0,0,0,0,1,0,0,1,0,179,5,1,0,1,172,0,0,0,0,123,3,3,0,0,306,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,18,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,6,0
Gonzales Police Department,2009,Louisiana,9531,LA00302,2,0,2,2,0,2,2,0,0,0,258,0,4,6,3,245,4,3,1,0,393,26,20,3,3,687,13,0,0,2,2,0,0,0,0,0,0,184,0,4,4,1,175,2,1,1,0,148,2,0,1,1,338,9,0,0,1,1,0,0,0,0,0,0,41,0,0,0,0,41,0,0,0,0,26,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Gonzales Police Department,2008,Louisiana,9252,LA00302,1,0,1,1,0,4,3,1,0,0,211,4,4,12,9,182,7,3,4,0,226,14,4,7,3,464,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
