agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,actual_arson_single_occupancy,actual_arson_other_residential,actual_arson_storage,actual_arson_industrial,actual_arson_other_commercial,actual_arson_community_public,actual_arson_all_oth_structures,actual_arson_total_structures,actual_arson_motor_vehicles,actual_arson_other_mobile,actual_arson_total_mobile,actual_arson_all_other,actual_arson_grand_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,tot_clr_arson_single_occupancy,tot_clr_arson_other_residential,tot_clr_arson_storage,tot_clr_arson_industrial,tot_clr_arson_other_commercial,tot_clr_arson_community_public,tot_clr_arson_all_oth_structures,tot_clr_arson_total_structures,tot_clr_arson_motor_vehicles,tot_clr_arson_other_mobile,tot_clr_arson_total_mobile,tot_clr_arson_all_other,tot_clr_arson_grand_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,clr_18_arson_single_occupancy,clr_18_arson_other_residential,clr_18_arson_storage,clr_18_arson_industrial,clr_18_arson_other_commercial,clr_18_arson_community_public,clr_18_arson_all_oth_structures,clr_18_arson_total_structures,clr_18_arson_motor_vehicles,clr_18_arson_other_mobile,clr_18_arson_total_mobile,clr_18_arson_all_other,clr_18_arson_grand_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total,unfound_arson_single_occupancy,unfound_arson_other_residential,unfound_arson_storage,unfound_arson_industrial,unfound_arson_other_commercial,unfound_arson_community_public,unfound_arson_all_oth_structures,unfound_arson_total_structures,unfound_arson_motor_vehicles,unfound_arson_other_mobile,unfound_arson_total_mobile,unfound_arson_all_other,unfound_arson_grand_total
Berlin Borough Police Department,2007,Pennsylvania,,PA05604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Borough Police Department,2006,Pennsylvania,2132,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,2005,Pennsylvania,,PA05604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Borough Police Department,2004,Pennsylvania,,PA05604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Borough Police Department,2003,Pennsylvania,,PA05604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Borough Police Department,2002,Pennsylvania,2202,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,4,12,12,0,0,19,1,1,0,0,38,2,2,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,4,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,2001,Pennsylvania,2193,PA05604,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,4,5,3,3,0,0,37,1,1,0,0,51,4,5,41,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,5,3,2,1,0,7,0,0,0,0,18,3,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,4,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,2000,Pennsylvania,2192,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,4,2,0,26,1,1,0,0,36,0,0,34,34,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,2,2,0,9,1,1,0,0,17,0,0,15,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1999,Pennsylvania,2147,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0,1,0,0,0,0,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,4,0,0,0,0,1,0,0,0,0,6,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1998,Pennsylvania,2163,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,10,0,4,6,0,0,0,0,0,12,1,1,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,4,0,4,0,0,0,0,0,0,6,1,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1997,Pennsylvania,2108,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,0,0,10,3,2,0,1,18,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,0,0,5,3,2,0,1,13,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1996,Pennsylvania,,PA05604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Borough Police Department,1995,Pennsylvania,2118,PA05604,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,1,0,0,0,0,6,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,1,0,0,0,0,6,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1994,Pennsylvania,2027,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,1,0,0,0,0,0,0,4,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1993,Pennsylvania,,PA05604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin Borough Police Department,1992,Pennsylvania,2085,PA05604,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,6,0,2,3,5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1991,Pennsylvania,2077,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,1,0,1,1,0,0,6,1,1,5,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin Borough Police Department,1990,Pennsylvania,2064,PA05604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,5,5,1,0,0,0,0,0,12,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,3,3,1,0,0,0,0,0,8,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,1,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
