agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Russell County Sheriff's Office,1960,Virginia,26290,VA08300,79,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1961,Virginia,26290,VA08300,57,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1964,Virginia,28354,VA08300,76,3,13,0,24,0,2,0,24,1,9,0,2,0,0,0,3,0,0,0,7,0,0,0,9,0,3,0,12,0,2,0,16,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1965,Virginia,26853,VA08300,53,13,42,0,22,2,20,0,22,2,20,0,1,0,1,0,5,1,4,0,4,0,3,0,5,0,4,0,12,1,12,0,8,2,6,0,0,0,0,0,6,1,5,0,2,1,1,0,7,4,5,0,1,0,1,0,0,0,0,0,0,0,0,3,1,2,0,3,1,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,0,7,4,5,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1966,Virginia,27661,VA08300,57,4,22,0,21,2,10,0,21,2,10,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,16,2,9,0,7,1,5,0,0,0,0,0,7,1,5,0,0,0,0,0,5,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,5,1,2,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1967,Virginia,26921,VA08300,29,5,21,0,5,0,3,0,5,0,3,0,0,0,0,0,4,0,3,0,1,0,0,0,14,0,7,0,0,0,0,0,10,3,7,0,2,0,0,0,7,2,6,0,1,1,1,0,3,1,2,0,1,0,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,3,1,2,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1968,Virginia,26314,VA08300,81,11,81,0,41,0,41,0,41,0,41,0,16,0,16,0,3,0,3,0,1,0,1,0,2,0,2,0,21,0,21,0,8,4,5,0,0,0,0,0,8,4,5,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,10,3,11,0,6,0,6,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,20,0,4,1,4,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1969,Virginia,26572,VA08300,80,7,71,0,25,2,23,0,25,2,23,0,3,0,3,0,0,0,0,0,4,2,4,0,10,0,10,0,18,0,16,0,9,1,9,0,0,0,0,0,8,0,8,0,1,1,1,0,10,2,9,0,1,0,1,0,1,0,1,0,0,0,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,26,0,10,2,9,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1970,Virginia,24533,VA08300,42,2,37,0,12,1,9,0,12,1,9,0,7,1,7,0,0,0,0,0,4,0,1,0,33,0,23,0,1,0,1,0,4,0,4,0,0,0,0,0,3,0,3,0,1,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,17,0,6,0,6,0,0,0,0,0,0,0,0,0
Russell County Sheriff's Office,1971,Virginia,24489,VA08300,48,4,15,0,15,0,3,0,15,0,3,0,7,0,3,0,0,0,0,0,7,0,0,0,56,1,23,0,1,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,4,0,2,0,2,0,0,0,0,0,0,0,0,0
