agency,year,state,population,ORI,officers_killed_by_accident,officers_killed_by_felony,officers_assaulted,act_murder,act_manslaughter,act_rape_total,act_force_rape,act_attempted_rape,act_robbery_total,act_gun_robbery,act_knife_robbery,act_other_weapon_robbery,act_strong_arm_robbery,act_assault_total,act_aggravated_assault,act_gun_assault,act_knife_assault,act_other_weapon_assault,act_hand_feet_assault,act_simple_assault,act_burglary_total,act_burg_force_entry,act_burg_no_force_entry,act_attempted_burglary,act_theft_total,act_mtr_vhc_theft_total,act_auto_theft,act_truck_bus_theft,act_other_vhc_theft,act_all_fields,clr_murder,clr_18_murder,clr_manslaughter,clr_18_manslaughter,clr_rape_total,clr_18_rape_total,clr_force_rape,clr_18_force_rape,clr_attempted_rape,clr_18_attempted_rape,clr_robbery_total,clr_18_robbery_total,clr_gun_robbery,clr_18_gun_robbery,clr_knife_robbery,clr_18_knife_robbery,clr_other_weapon_robbery,clr_18_other_weapon_robbery,clr_strong_arm_robbery,clr_18_strong_arm_robbery,clr_assault_total,clr_18_assault_total,clr_aggravated_assault,clr_18_aggravated_assault,clr_gun_assault,clr_18_gun_assault,clr_knife_assault,clr_18_knife_assault,clr_other_weapon_assault,clr_18_other_weapon_assault,clr_hand_feet_assault,clr_18_hand_feet_assault,clr_simple_assault,clr_18_simple_assault,clr_burglary_total,clr_18_burglary_total,clr_burg_force_entry,clr_18_burg_force_entry,clr_burg_no_force_entry,clr_18_burg_no_force_entry,clr_attempted_burglary,clr_18_attempted_burglary,clr_theft_total,clr_18_theft_total,clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_auto_theft,clr_18_auto_theft,clr_truck_bus_theft,clr_18_truck_bus_theft,clr_other_vhc_theft,clr_18_other_vhc_theft,clr_all_fields,clr_18_all_fields,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_force_rape,unfound_attempted_rape,unfound_robbery_total,unfound_gun_robbery,unfound_knife_robbery,unfound_other_weapon_robbery,unfound_strong_arm_robbery,unfound_assault_total,unfound_aggravated_assault,unfound_gun_assault,unfound_knife_assault,unfound_other_weapon_assault,unfound_hand_feet_assault,unfound_simple_assault,unfound_burglary_total,unfound_burg_force_entry,unfound_burg_no_force_entry,unfound_attempted_burglary,unfound_theft_total,unfound_mtr_vhc_theft_total,unfound_auto_theft,unfound_truck_bus_theft,unfound_other_vhc_theft,unfound_all_fields
Chatham Police Dept,1974,Illinois,3975,IL08404,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,3,7,8,3,2,3,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1975,Illinois,3975,IL08404,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,12,6,3,3,36,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1977,Illinois,4542,IL08404,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,18,7,8,3,45,4,3,0,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,4,2,1,0,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1978,Illinois,4744,IL08404,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,1,1,8,23,11,8,4,73,4,2,0,2,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,5,1,2,2,1,1,0,0,1,1,7,5,1,0,1,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1979,Illinois,5162,IL08404,NA,NA,NA,0,0,0,0,0,2,1,0,0,1,16,5,1,0,2,2,11,33,17,8,8,73,4,1,0,3,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,0,1,0,0,0,2,0,1,0,10,1,2,1,1,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1980,Illinois,5601,IL08404,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,1,1,9,51,23,23,5,80,2,2,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,0,0,0,1,0,1,0,7,2,1,1,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1981,Illinois,5650,IL08404,0,0,0,0,0,1,1,0,1,0,0,1,0,5,1,0,0,0,1,4,25,9,10,6,64,2,0,1,1,98,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1982,Illinois,5647,IL08404,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,4,15,4,8,3,63,3,1,1,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,1,0,0,0,8,3,1,0,1,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham Police Dept,1983,Illinois,5665,IL08404,0,0,0,0,0,1,1,0,0,0,0,0,0,27,7,1,1,4,1,20,21,4,13,4,64,3,1,0,2,116,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,4,1,0,0,0,0,3,1,1,0,15,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,2,1,1,0,0,11
Chatham Police Dept,1984,Illinois,5750,IL08404,0,0,2,0,0,0,0,0,2,0,0,0,2,25,6,0,0,3,3,19,21,10,6,5,57,3,3,0,0,108,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,15,0,3,0,0,0,0,0,1,0,2,0,12,0,0,0,0,0,0,0,0,0,14,8,3,0,3,0,0,0,0,0,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,0,0,0,0,6
