agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Sp: Chesterfield County,1999,Virginia,0,VA021SP,0,0,0,0,0,1,1,0,0,0,63,1,0,30,0,32,1,0,1,0,8,2,2,0,0,75,31,0,0,0,0,0,0,0,0,0,0,48,0,0,21,0,27,0,0,0,0,2,0,0,0,0,50,21,0,0,0,0,0,0,0,0,0,0,29,0,0,13,0,16,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1998,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,31,0,0,13,6,12,2,0,2,0,9,2,2,0,0,44,19,0,0,0,0,0,0,0,0,0,0,11,0,0,3,3,5,0,0,0,0,0,1,1,0,0,12,6,0,0,0,0,0,0,0,0,0,0,8,0,0,2,2,4,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1997,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,35,2,0,7,6,20,3,0,3,0,13,0,0,0,0,51,15,0,0,0,0,0,0,0,0,0,0,14,0,0,4,1,9,0,0,0,0,2,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,8,0,0,1,1,6,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1996,Virginia,0,VA021SP,0,0,0,0,0,1,0,0,1,0,13,1,0,4,2,6,0,0,0,0,18,4,4,0,0,36,7,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,1,2,2,0,0,7,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1995,Virginia,0,VA021SP,0,0,0,0,0,1,0,1,0,0,7,0,0,2,2,3,0,0,0,0,11,4,3,1,0,23,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1994,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1993,Virginia,0,VA021SP,0,0,0,0,0,4,0,0,4,0,6,0,0,1,2,3,0,0,0,0,19,7,7,0,0,36,3,0,0,0,0,0,3,0,0,3,0,3,0,0,1,0,2,0,0,0,0,6,2,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1992,Virginia,0,VA021SP,0,0,2,2,0,4,1,0,1,2,3,0,0,0,1,2,7,7,0,0,20,0,0,0,0,36,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,1,6,6,0,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1991,Virginia,0,VA021SP,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,5,4,4,0,0,47,1,1,0,0,59,1,0,0,1,0,1,0,0,0,0,0,5,0,0,1,0,4,1,1,0,0,6,1,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Sp: Chesterfield County,1990,Virginia,0,VA021SP,0,0,0,0,0,2,1,0,0,1,7,0,0,0,2,5,11,11,0,0,39,6,6,0,0,65,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,4,3,3,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Sp: Chesterfield County,1989,Virginia,0,VA021SP,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,1,1,1,0,0,28,4,3,1,0,37,1,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,15,1,0,1,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sp: Chesterfield County,1988,Virginia,0,VA021SP,0,0,0,0,0,1,0,1,0,0,4,0,0,2,0,2,2,2,0,0,27,9,7,2,0,43,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,6,4,4,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0
Sp: Chesterfield County,1987,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0,0,29,4,4,0,0,38,5,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,3,1,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0
Sp: Chesterfield County,1986,Virginia,0,VA021SP,0,0,1,0,1,0,0,0,0,0,6,0,1,3,0,2,1,1,0,0,36,3,3,0,0,47,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,14,1,1,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sp: Chesterfield County,1985,Virginia,0,VA021SP,1,0,0,0,0,1,1,0,0,0,14,0,0,6,1,7,14,13,1,0,41,1,0,0,1,72,7,0,0,0,0,0,1,1,0,0,0,13,0,0,5,1,7,4,3,1,0,5,1,0,0,1,24,6,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,1,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Sp: Chesterfield County,1984,Virginia,0,VA021SP,0,0,0,0,0,4,3,0,0,1,14,5,0,1,0,8,2,1,1,0,23,6,3,2,1,49,6,0,0,0,0,0,1,0,0,0,1,12,4,0,0,0,8,3,2,1,0,10,4,2,1,1,30,4,0,0,0,0,0,1,0,0,0,1,4,3,0,0,0,1,0,0,0,0,0,1,1,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1983,Virginia,0,VA021SP,0,0,1,1,0,6,4,0,0,2,16,0,0,1,0,15,11,8,3,0,43,3,2,1,0,80,1,0,0,0,0,0,2,1,0,0,1,7,0,0,1,0,6,2,2,0,0,8,2,1,1,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,5,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,3,2,2,0,0,0,2,1,1,0,8,0
Sp: Chesterfield County,1982,Virginia,0,VA021SP,0,0,1,1,0,1,1,0,0,0,8,0,0,0,1,7,10,9,1,0,55,2,2,0,0,77,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,2,0,0,8,1,1,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1981,Virginia,0,VA021SP,0,0,2,2,0,1,1,0,0,0,13,0,0,2,1,10,10,9,1,0,64,3,3,0,0,93,3,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,4,1,1,0,0,9,1,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1980,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,9,0,0,2,1,6,15,11,3,1,49,3,3,0,0,76,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,7,1,1,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1979,Virginia,0,VA021SP,0,0,0,0,0,1,1,0,0,0,16,0,1,1,2,12,5,4,1,0,60,9,9,0,0,91,4,0,0,0,0,0,1,1,0,0,0,6,0,1,0,2,3,0,0,0,0,10,3,3,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1978,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,11,0,0,2,1,8,3,3,0,0,36,5,5,0,0,55,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,2,3,3,0,0,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1977,Virginia,0,VA021SP,0,0,0,0,0,0,0,0,0,0,16,0,0,1,3,12,7,7,0,0,40,10,10,0,0,73,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,0,0,0,2,1,1,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1976,Virginia,0,VA021SP,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,2,5,4,1,0,49,6,5,0,1,64,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,8,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1975,Virginia,0,VA021SP,1,2,0,0,0,3,3,0,0,0,11,0,4,1,2,4,9,4,5,0,20,15,9,2,4,61,7,1,2,0,0,0,3,3,0,0,0,9,0,4,1,2,2,0,0,0,0,3,3,2,0,1,21,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1974,Virginia,0,VA021SP,0,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,11,9,2,0,28,20,18,1,1,64,3,0,0,0,0,0,1,1,0,0,0,3,1,0,1,1,0,2,2,0,0,5,6,5,0,1,17,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sp: Chesterfield County,1973,Virginia,0,VA021SP,0,4,0,0,0,4,3,0,0,1,3,1,0,2,0,0,15,11,4,0,37,18,18,0,0,81,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,5,3,0,6,5,5,0,0,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,2,0,3,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
