agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Chamberlain Police Department,2017,South Dakota,2364,SD00701,114,45,1,0,9,6,0,0,59,41,0,0,0,0,0,0,2,1,0,0,4,2,0,0,50,35,0,0,3,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2016,South Dakota,2383,SD00701,139,53,1,0,15,10,0,0,65,43,1,0,0,0,0,0,5,4,0,0,7,4,0,0,50,33,1,0,3,2,0,0,10,4,0,0,0,0,0,0,1,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2015,South Dakota,2405,SD00701,164,42,3,0,11,5,0,0,74,35,3,0,0,0,0,0,5,2,0,0,5,2,0,0,63,30,3,0,1,1,0,0,18,1,0,0,0,0,0,0,1,0,0,0,17,1,0,0,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,64,4,0,0,5,1,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2014,South Dakota,2457,SD00701,196,57,5,0,16,11,0,0,78,44,5,0,0,0,0,0,14,10,0,0,2,1,0,0,62,33,5,0,0,0,0,0,26,5,0,0,0,0,0,0,8,2,0,0,18,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,83,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2013,South Dakota,2405,SD00701,191,52,1,0,16,9,0,0,94,45,0,0,0,0,0,0,4,2,0,0,10,6,0,0,78,36,0,0,2,1,0,0,15,2,0,0,0,0,0,0,2,1,0,0,13,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2012,South Dakota,2427,SD00701,190,40,2,0,8,3,0,0,88,32,0,0,0,0,0,0,6,1,0,0,2,2,0,0,80,29,0,0,0,0,0,0,18,2,0,0,0,0,0,0,5,0,0,0,13,2,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,2,0,8,1,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2011,South Dakota,2416,SD00701,51,38,7,0,2,1,0,0,36,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,5,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2010,South Dakota,2387,SD00701,37,13,0,0,4,3,0,0,25,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,9,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chamberlain Police Department,2009,South Dakota,2255,SD00701,58,14,8,0,1,1,1,0,40,10,6,0,0,0,0,0,0,0,0,0,1,1,1,0,39,9,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,1,0,0,0,0,0,0,0,2,0,0,0
Chamberlain Police Department,2008,South Dakota,2249,SD00701,85,19,5,0,11,8,0,0,47,12,1,0,2,2,0,0,0,0,0,0,6,6,0,0,36,4,1,0,3,0,0,0,7,0,0,0,2,0,0,0,1,0,0,0,4,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,3,0,5,1,1,0,1,0,0,0,0,0,0,0
