agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Shenandoah Police Department,2017,Virginia,2328,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,10,4,0,4,0,28,2,2,0,0,45,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,2,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2016,Virginia,2334,VA06902,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,9,4,1,2,1,32,6,3,2,1,52,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2015,Virginia,2348,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,15,7,4,3,0,21,3,1,1,1,47,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,9,1,1,0,0,4,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2014,Virginia,2350,VA06902,0,0,0,0,0,0,0,0,1,1,0,0,0,8,0,1,0,0,7,8,4,3,1,41,2,1,0,1,60,1,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,7,1,1,0,0,10,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2013,Virginia,2350,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,17,16,7,8,1,41,1,1,0,0,77,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,14,2,1,1,0,3,1,1,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2012,Virginia,2392,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,1,1,12,17,2,14,1,36,2,2,0,0,70,3,0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,11,4,0,4,0,4,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2011,Virginia,2401,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,1,0,11,14,1,10,3,42,2,2,0,0,71,2,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,7,4,1,2,1,10,1,1,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2010,Virginia,2373,VA06902,0,0,0,0,0,2,2,0,0,0,0,0,0,14,0,0,2,0,12,6,0,6,0,30,3,1,0,2,55,2,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,5,1,0,1,0,4,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2009,Virginia,1856,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,1,9,8,2,6,0,37,1,1,0,0,58,3,0,0,0,0,0,0,0,0,0,0,7,0,1,1,1,4,1,1,0,0,6,0,0,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2008,Virginia,1862,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,8,0,6,2,22,3,2,0,1,42,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah Police Department,2007,Virginia,1873,VA06902,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,11,71,0,69,2,26,1,1,0,0,110,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,7,43,0,43,0,6,1,1,0,0,58,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
