agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Weimar Police Department,2023,Texas,2101,TX04503,0,0,0,0,0,0,0,0,1,0,0,1,0,15,2,0,0,0,13,1,1,0,0,7,1,1,0,0,25,0,2,3,9,12,0,0,0,0,0,1,0,0,1,0,7,2,0,0,0,5,0,0,0,0,2,1,1,0,0,11,0,2,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2022,Texas,2083,TX04503,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,0,0,1,7,5,1,4,0,7,3,3,0,0,25,0,1,3,15,18,0,0,0,0,0,1,0,0,0,1,8,0,0,0,1,7,1,1,0,0,2,3,3,0,0,15,0,1,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2021,Texas,2238,TX04503,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,2,0,9,7,6,1,0,12,1,1,0,0,32,0,2,3,20,23,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,7,1,1,0,0,4,0,0,0,0,13,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2020,Texas,2235,TX04503,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,1,1,19,0,0,0,0,11,6,6,0,0,39,0,3,3,17,20,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,18,0,0,0,0,4,4,4,0,0,28,0,2,2,8,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2019,Texas,2180,TX04503,0,0,3,0,0,2,2,0,0,0,0,0,0,25,1,1,1,0,22,1,1,0,0,17,2,1,1,0,47,0,3,5,20,25,0,0,2,2,0,0,0,0,0,0,21,0,1,1,0,19,0,0,0,0,8,1,1,0,0,32,0,2,4,9,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2018,Texas,2189,TX04503,0,0,0,0,0,2,2,0,0,0,0,0,0,20,0,0,1,0,19,5,3,2,0,17,1,1,0,0,45,0,1,3,23,26,0,0,1,1,0,0,0,0,0,0,14,0,0,1,0,13,0,0,0,0,4,1,1,0,0,20,0,1,2,5,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Weimar Police Department,2017,Texas,2173,TX04503,0,0,0,0,0,3,3,0,0,0,0,0,0,18,1,1,0,1,15,6,6,0,0,10,4,1,3,0,41,0,3,6,20,26,0,0,1,1,0,0,0,0,0,0,17,1,0,0,0,16,2,2,0,0,4,0,0,0,0,24,0,1,2,6,8,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2016,Texas,2163,TX04503,0,0,0,0,0,2,2,0,3,2,0,1,0,14,1,1,0,1,11,4,3,0,1,15,1,1,0,0,39,0,3,8,20,28,0,0,0,0,0,3,2,0,1,0,13,0,1,0,1,11,0,0,0,0,6,0,0,0,0,22,0,2,5,6,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2015,Texas,2129,TX04503,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,1,0,0,26,10,7,3,0,16,1,0,1,0,57,0,4,4,27,31,0,0,0,0,0,0,0,0,0,0,23,2,1,0,0,20,2,2,0,0,5,0,0,0,0,30,0,3,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weimar Police Department,2014,Texas,2139,TX04503,0,0,0,0,0,1,1,0,3,2,0,1,0,15,0,1,0,0,14,8,5,3,0,24,0,0,0,0,51,0,1,5,32,37,0,0,1,1,0,2,1,0,1,0,14,0,1,0,0,13,4,2,2,0,8,0,0,0,0,29,0,1,4,12,16,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,1,4,2,2,0,1,0,0,0,0,8,0,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
