agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Auburn Police Department,2017,Washington,78718,WA01701,0,0,0,3,0,64,59,5,117,41,16,28,32,1074,60,29,46,57,882,927,579,291,57,2124,653,521,123,9,4962,192,376,3704,4080,0,0,8,7,1,28,4,7,7,10,560,17,21,22,31,469,46,19,23,4,223,20,17,3,0,885,91,127,289,416,0,0,1,1,0,7,2,1,2,2,47,1,1,2,4,39,2,1,1,0,4,2,2,0,0,63,8,16,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn Police Department,2016,Washington,78400,WA01701,0,0,0,6,0,49,47,2,98,30,10,19,39,941,33,25,57,61,765,732,390,285,57,2188,698,562,114,22,4712,176,329,3618,3947,1,0,5,5,0,23,8,2,7,6,502,7,17,26,28,424,40,23,16,1,245,30,27,3,0,846,78,107,315,422,1,0,0,0,0,2,0,0,0,2,23,0,1,1,0,21,4,1,3,0,3,2,2,0,0,35,2,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn Police Department,2015,Washington,77914,WA01701,0,0,0,7,0,31,27,4,93,23,12,22,36,1098,31,35,61,63,908,954,549,326,79,2672,626,500,112,14,5481,190,321,4252,4573,2,0,6,5,1,14,1,3,4,6,591,18,20,24,32,497,31,16,11,4,418,14,10,4,0,1076,94,116,463,579,0,0,1,0,1,2,1,1,0,0,46,1,1,3,2,39,2,0,1,1,16,3,3,0,0,70,7,10,21,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn Police Department,2014,Washington,76020,WA01701,0,0,0,2,0,41,39,2,105,28,12,15,50,1013,26,23,38,67,859,848,481,299,68,3132,618,489,117,12,5759,154,302,4598,4900,1,0,5,5,0,16,6,3,0,7,549,9,14,15,35,476,57,31,24,2,530,16,11,5,0,1174,73,95,603,698,1,0,0,0,0,4,1,0,0,3,51,0,5,2,2,42,4,4,0,0,32,3,2,1,0,95,9,14,39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn Police Department,2013,Washington,74565,WA01701,0,0,0,5,0,36,35,1,110,17,17,20,56,1000,24,27,38,55,856,801,463,278,60,2492,673,560,98,15,5117,144,295,3966,4261,1,0,5,4,1,19,2,5,3,9,493,7,10,19,26,431,94,55,31,8,396,41,37,4,0,1049,62,87,531,618,0,0,0,0,0,2,0,1,0,1,56,0,2,0,1,53,16,7,8,1,45,4,4,0,0,123,3,5,65,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburn Police Department,2012,Washington,72218,WA01701,0,0,6,6,0,23,21,2,110,33,8,9,60,854,11,30,23,45,745,984,558,347,79,2415,586,513,46,27,4978,109,248,3985,4233,4,0,6,4,2,26,5,0,3,18,609,4,15,10,21,559,67,36,29,2,518,44,35,5,4,1274,50,86,629,715,0,0,2,1,1,8,2,0,1,5,181,0,6,1,2,172,16,7,9,0,115,6,4,1,1,328,9,19,137,156,0,0,2,2,0,1,1,0,0,0,4,0,0,0,0,4,1,1,0,0,2,9,9,0,0,19,0,3,12,15
Auburn Police Department,2011,Washington,71281,WA01701,0,0,15,2,0,23,20,3,107,35,10,6,56,799,16,27,48,56,652,762,420,303,39,2435,600,495,77,28,4728,147,279,3797,4076,2,0,10,8,2,33,6,3,3,21,603,7,11,30,35,520,70,44,24,2,475,43,34,7,2,1236,83,128,588,716,0,0,1,1,0,5,2,0,0,3,169,0,3,4,4,158,18,13,3,2,105,0,0,0,0,298,11,17,123,140,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,7,7,6,0,1,24,0,0,14,14
Auburn Police Department,2010,Washington,70180,WA01701,0,0,18,3,0,15,13,2,79,28,7,9,35,841,17,21,49,51,703,725,391,284,50,2533,570,452,85,33,4766,138,235,3828,4063,3,0,3,2,1,23,8,2,2,11,684,10,13,30,39,592,64,30,29,5,539,31,25,2,4,1347,92,121,634,755,0,0,0,0,0,3,1,0,0,2,155,2,4,5,4,140,5,1,3,1,117,5,5,0,0,285,15,18,127,145,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,2,1,1,0,5,11,8,3,0,25,0,1,18,19
Auburn Police Department,2009,Washington,56934,WA01701,0,0,9,4,0,13,11,2,92,20,4,4,64,880,22,36,60,47,715,590,310,245,35,2362,369,279,69,21,4310,165,274,3321,3595,5,0,6,5,1,33,5,0,3,25,715,13,29,48,35,590,44,23,17,4,597,19,14,3,2,1419,125,169,660,829,0,0,1,1,0,5,0,0,0,5,134,3,4,3,2,122,8,2,4,2,121,0,0,0,0,269,12,18,129,147,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,9,1,1,0,0,9,10,6,1,3,30,1,1,20,21
Auburn Police Department,2008,Washington,50660,WA01701,0,0,13,0,0,14,13,1,102,27,11,4,60,918,26,35,69,29,759,630,363,232,35,2343,640,511,93,36,4647,159,275,3613,3888,0,0,3,3,0,29,9,0,1,19,720,15,27,46,22,610,50,19,28,3,583,17,15,2,0,1402,110,142,650,792,0,0,0,0,0,1,0,0,0,1,133,2,4,5,3,119,12,6,5,1,192,3,3,0,0,341,14,15,207,222,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,2,21,18,2,1,32,0,0,23,23
