agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
University of South Florida Police,2017,Florida,0,FL02907,0,0,3,3,0,1,0,0,0,1,40,4,2,2,2,30,25,3,21,1,221,21,3,0,18,311,10,0,0,1,1,0,0,0,0,0,0,20,0,0,0,0,13,2,1,1,0,21,3,2,0,1,47,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2016,Florida,0,FL02907,0,0,3,3,0,3,1,0,0,2,28,0,0,0,2,26,54,18,36,0,262,7,1,0,6,357,2,0,0,3,3,0,2,0,0,0,0,19,0,0,0,0,18,10,2,8,0,34,0,0,0,0,68,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2015,Florida,0,FL02907,0,0,1,1,0,7,4,0,0,3,34,1,0,0,0,33,38,4,32,2,463,12,4,0,8,555,1,0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,20,7,2,4,1,45,1,0,0,1,78,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2014,Florida,0,FL02907,0,0,4,4,0,3,1,0,0,2,58,0,1,0,4,53,37,8,27,2,331,9,3,0,6,442,5,0,0,4,4,0,0,0,0,0,0,18,0,0,0,0,14,3,0,3,0,15,2,2,0,0,42,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2013,Florida,0,FL02907,0,0,3,3,0,1,1,0,0,0,31,0,0,1,2,28,29,1,27,1,333,11,6,0,5,408,3,0,0,2,2,0,1,0,0,0,0,24,0,0,0,0,21,2,0,2,0,19,4,3,0,1,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2012,Florida,0,FL02907,0,0,4,4,0,1,0,0,0,1,40,3,1,0,1,35,57,2,55,0,329,14,1,0,13,445,5,0,0,1,1,0,1,0,0,0,0,31,0,0,0,0,29,6,2,4,0,28,0,0,0,0,67,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2011,Florida,0,FL02907,0,0,1,1,0,1,1,0,0,0,50,2,3,0,3,42,48,3,44,1,299,9,6,0,3,408,8,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,25,4,0,4,0,23,2,2,0,0,60,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2010,Florida,0,FL02907,0,0,7,7,0,1,0,0,0,1,44,1,0,1,1,41,68,8,59,1,321,11,5,0,6,452,3,0,0,3,3,0,0,0,0,0,0,36,0,0,0,0,34,7,1,6,0,20,0,0,0,0,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2009,Florida,0,FL02907,0,0,1,1,0,1,0,0,0,1,48,1,0,0,1,46,40,7,33,0,251,19,13,0,6,360,2,0,0,1,1,0,1,0,0,0,0,40,0,0,0,0,38,13,3,10,0,39,2,1,0,1,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
University of South Florida Police,2008,Florida,0,FL02907,0,0,2,2,0,5,1,0,0,4,20,0,0,0,2,18,104,29,74,1,260,15,8,1,6,406,2,0,0,2,2,0,1,0,0,0,0,13,0,0,0,0,13,20,0,19,1,34,5,4,0,1,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
