agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Deaf Smith County Sheriff's Office,2017,Texas,3878,TX05900,0,0,0,0,0,4,2,2,0,0,0,0,0,28,0,1,0,1,26,10,3,4,3,37,8,0,3,5,87,2,6,55,61,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,1,0,3,1,0,1,0,9,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaf Smith County Sheriff's Office,2016,Texas,3858,TX05900,0,0,1,0,0,1,1,0,0,0,0,0,0,21,0,0,0,3,18,27,1,18,8,41,5,3,2,0,95,3,4,73,77,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,5,0,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaf Smith County Sheriff's Office,2015,Texas,4011,TX05900,0,0,3,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,22,30,11,17,2,40,15,7,6,2,108,1,1,85,86,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,7,6,2,4,0,2,4,2,1,1,20,1,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
Deaf Smith County Sheriff's Office,2014,Texas,4093,TX05900,0,0,5,0,0,3,3,0,0,0,0,0,0,30,2,0,3,3,22,33,3,23,7,62,9,3,6,0,137,8,11,104,115,0,0,1,1,0,0,0,0,0,0,14,1,0,3,1,9,1,0,1,0,1,1,0,1,0,18,5,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaf Smith County Sheriff's Office,2013,Texas,4088,TX05900,0,0,3,0,0,1,1,0,0,0,0,0,0,36,0,4,1,1,30,38,23,14,1,29,8,4,0,4,112,6,7,75,82,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,11,1,1,0,0,4,2,1,0,1,20,2,2,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,2
Deaf Smith County Sheriff's Office,2012,Texas,4109,TX05900,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,17,36,21,14,1,48,9,6,1,2,111,1,1,93,94,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,1,0,1,0,4,5,5,0,0,23,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deaf Smith County Sheriff's Office,2011,Texas,4087,TX05900,0,0,1,0,0,2,2,0,0,0,0,0,0,36,0,1,2,12,21,31,17,14,0,65,9,8,1,0,143,15,17,105,122,0,0,1,1,0,0,0,0,0,0,28,0,1,2,10,15,3,1,2,0,8,6,5,1,0,46,13,14,17,31,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2
Deaf Smith County Sheriff's Office,2010,Texas,4002,TX05900,0,0,2,0,0,1,1,0,1,0,0,0,1,18,1,0,0,4,13,33,20,13,0,46,3,1,0,2,102,5,7,82,89,0,0,0,0,0,0,0,0,0,0,15,1,0,0,3,11,1,1,0,0,24,1,0,0,1,41,4,4,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deaf Smith County Sheriff's Office,2009,Texas,4026,TX05900,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,18,32,17,15,0,39,6,2,0,4,101,6,6,77,83,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,18,5,4,1,0,4,3,2,0,1,36,6,6,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Deaf Smith County Sheriff's Office,2008,Texas,4002,TX05900,0,0,0,0,0,0,0,0,1,1,0,0,0,24,0,2,0,4,18,32,17,12,3,61,9,6,0,3,127,6,7,102,109,0,0,0,0,0,1,1,0,0,0,22,0,1,0,3,18,7,4,1,2,18,6,5,0,1,54,4,5,31,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1
