agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Helen Police Department,2023,Georgia,601,GA15402,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,1,4,0,26,0,0,0,0,35,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Police Department,2022,Georgia,555,GA15402,0,0,0,0,0,1,1,0,0,0,0,0,0,15,5,0,0,1,9,5,2,3,0,25,0,0,0,0,46,0,6,7,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Police Department,2021,Georgia,564,GA15402,0,0,0,0,0,2,2,0,1,0,0,0,1,12,1,3,0,0,8,10,4,6,0,36,2,0,0,2,63,0,4,7,48,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Police Department,2020,Georgia,565,GA15402,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,0,1,12,9,4,5,0,52,4,0,3,1,81,0,4,4,65,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Police Department,2019,Georgia,,GA15402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Police Department,2018,Georgia,547,GA15402,0,0,0,0,0,1,1,0,0,0,0,0,0,22,0,0,0,2,20,5,3,2,0,38,2,2,0,0,68,0,2,3,45,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,4,0,0,0,3,3
Helen Police Department,2017,Georgia,547,GA15402,0,0,0,0,0,1,1,0,0,0,0,0,0,20,0,0,5,1,14,4,3,1,0,63,3,1,1,1,91,0,6,7,70,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Helen Police Department,2016,Georgia,536,GA15402,0,0,0,0,0,1,1,0,4,0,0,0,4,28,0,1,2,1,24,13,5,8,0,67,5,2,1,2,118,0,4,9,85,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helen Police Department,2015,Georgia,529,GA15402,0,0,0,0,0,0,0,0,1,0,0,1,0,30,2,1,2,2,23,10,3,7,0,53,0,0,0,0,94,0,7,8,63,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Helen Police Department,2014,Georgia,529,GA15402,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,0,1,6,19,18,3,15,0,58,2,1,0,1,106,0,8,8,78,86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,0,0,4,0,0,0,3,3
