agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Stowe Police Department,2023,Vermont,5323,VT00802,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,11,4,3,1,0,65,1,1,0,0,82,0,1,1,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2022,Vermont,5359,VT00802,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,1,1,9,8,5,3,0,69,3,2,0,1,92,0,2,3,80,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2021,Vermont,4460,VT00802,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,1,0,1,4,4,0,4,0,63,1,1,0,0,76,0,2,4,68,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2020,Vermont,4444,VT00802,0,0,0,0,0,2,2,0,0,0,0,0,0,20,0,0,1,3,16,3,0,3,0,63,0,0,0,0,88,0,4,6,66,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2019,Vermont,4452,VT00802,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,12,5,1,3,1,42,1,1,0,0,61,0,1,1,48,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2018,Vermont,4495,VT00802,0,0,0,0,0,2,2,0,0,0,0,0,0,13,0,0,0,1,12,4,3,1,0,47,0,0,0,0,66,0,1,3,51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2017,Vermont,4440,VT00802,0,0,0,0,0,3,3,0,1,1,0,0,0,9,0,0,0,0,9,15,10,5,0,73,0,0,0,0,101,0,0,4,88,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2016,Vermont,4474,VT00802,0,0,0,0,0,2,2,0,0,0,0,0,0,17,0,0,0,2,15,9,4,5,0,70,0,0,0,0,98,0,2,4,79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2015,Vermont,4435,VT00802,0,0,0,0,0,1,1,0,0,0,0,0,0,8,1,0,0,1,6,14,3,11,0,68,0,0,0,0,91,0,2,3,82,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stowe Police Department,2014,Vermont,4433,VT00802,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,1,1,3,26,14,9,3,87,0,0,0,0,119,0,2,3,113,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
