agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Buda Police Department,2023,Texas,16508,TX10512,0,0,0,0,0,1,1,0,4,1,1,0,2,87,13,2,1,0,71,21,11,9,1,248,61,54,4,3,422,0,16,21,330,351,0,0,1,1,0,1,0,0,0,1,37,4,2,0,2,29,1,1,0,0,50,5,3,1,1,95,0,8,10,56,66,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,1,1,0,0,6,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buda Police Department,2022,Texas,16000,TX10512,0,0,0,0,0,2,2,0,3,1,0,1,1,94,8,0,18,2,66,28,20,6,2,280,47,43,4,0,454,0,28,33,355,388,0,2,0,0,0,2,1,0,0,1,52,4,0,13,1,34,1,0,1,0,63,1,1,0,0,121,0,18,20,65,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buda Police Department,2021,Texas,19130,TX10512,0,0,0,0,2,5,5,0,2,1,0,1,0,114,8,4,23,14,65,32,21,10,1,244,27,26,0,1,426,0,49,56,303,359,0,0,2,2,0,0,0,0,0,0,45,4,4,13,7,17,5,2,3,0,61,5,5,0,0,118,0,28,30,71,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buda Police Department,2020,Texas,18531,TX10512,0,0,0,0,1,5,5,0,9,3,1,0,5,67,5,4,10,5,43,31,16,15,0,229,19,11,7,1,361,0,24,38,279,317,0,1,0,0,0,4,0,1,0,3,33,2,4,5,4,18,6,1,5,0,85,2,2,0,0,131,0,15,19,93,112,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,7,0,0,0,0,9,0,1,1,7,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Buda Police Department,2019,Texas,18146,TX10512,0,0,0,0,0,3,3,0,3,2,0,0,1,80,2,0,12,0,66,28,18,10,0,223,20,14,2,4,357,0,14,20,271,291,0,0,1,1,0,0,0,0,0,0,38,0,0,7,0,31,5,2,3,0,83,3,2,0,1,130,0,7,8,91,99,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,1,0,0,5,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Buda Police Department,2018,Texas,18028,TX10512,0,0,0,0,0,4,4,0,8,4,0,2,2,66,1,1,6,0,58,17,0,16,1,250,10,8,2,0,355,0,8,20,277,297,0,0,1,1,0,2,0,0,1,1,32,0,1,2,0,29,1,1,0,0,58,2,2,0,0,96,0,3,6,61,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Buda Police Department,2017,Texas,16857,TX10512,0,0,0,0,0,0,0,0,3,3,0,0,0,58,3,3,0,0,52,19,9,10,0,215,11,4,5,2,306,0,6,9,245,254,0,0,0,0,0,0,0,0,0,0,34,3,1,0,0,30,3,0,3,0,44,2,2,0,0,83,0,4,4,49,53,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,7,0,0,0,0,11,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,8,0,0,0,0,0,0,0,0,0,9,0,1,1,0,1
Buda Police Department,2016,Texas,15449,TX10512,0,0,0,0,0,0,0,0,6,3,2,0,1,55,2,2,3,0,48,14,9,5,0,236,23,12,10,1,334,0,7,13,273,286,0,0,0,0,0,3,1,2,0,0,37,1,1,2,0,33,2,1,1,0,114,0,0,0,0,156,0,4,7,116,123,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,9,0,0,0,8,8,0,0,0,0,0,1,1,0,0,0,6,0,0,1,0,5,0,0,0,0,2,2,2,0,0,11,0,1,2,4,6
Buda Police Department,2015,Texas,12722,TX10512,0,0,0,0,0,0,0,0,2,1,0,0,1,45,1,0,3,1,40,23,12,11,0,305,19,10,9,0,394,0,5,7,347,354,0,0,0,0,0,1,0,0,0,1,35,1,0,2,1,31,2,1,1,0,200,2,1,1,0,240,0,4,5,204,209,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,1,0,1,0,30,0,0,0,0,36,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,2,2,0,0,5,0,1,1,3,4
Buda Police Department,2014,Texas,11020,TX10512,0,0,1,0,0,3,2,1,5,2,0,0,3,40,1,3,1,0,35,29,17,12,0,284,13,1,10,2,374,0,5,13,326,339,0,0,0,0,0,1,1,0,0,0,18,0,2,0,0,16,0,0,0,0,151,0,0,0,0,170,0,2,3,151,154,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,24,0,0,0,0,26,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,1,0,7,0,0,0,4,4
