agency,year,state,population,ORI,act_all_crimes,clr_18_all_crimes,clr_all_crimes,unfound_all_crimes,act_aggravated_assault,clr_18_aggravated_assault,clr_aggravated_assault,unfound_aggravated_assault,act_assault_total,clr_18_assault_total,clr_assault_total,unfound_assault_total,act_gun_assault,clr_18_gun_assault,clr_gun_assault,unfound_gun_assault,act_knife_assault,clr_18_knife_assault,clr_knife_assault,unfound_knife_assault,act_other_weapon_assault,clr_18_other_weapon_assault,clr_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,clr_18_simple_assault,clr_simple_assault,unfound_simple_assault,act_hand_feet_assault,clr_18_hand_feet_assault,clr_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,clr_18_burglary_total,clr_burglary_total,unfound_burglary_total,act_attempted_burglary,clr_18_attempted_burglary,clr_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,clr_18_burg_force_entry,clr_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,clr_18_burg_no_force_entry,clr_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,clr_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,clr_18_manslaughter,clr_manslaughter,unfound_manslaughter,act_murder,clr_18_murder,clr_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,clr_18_rape_total,clr_rape_total,unfound_rape_total,act_attempted_rape,clr_18_attempted_rape,clr_attempted_rape,unfound_attempted_rape,act_force_rape,clr_18_force_rape,clr_force_rape,unfound_force_rape,act_robbery_total,clr_18_robbery_total,clr_robbery_total,unfound_robbery_total,act_gun_robbery,clr_18_gun_robbery,clr_gun_robbery,unfound_gun_robbery,act_knife_robbery,clr_18_knife_robbery,clr_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,clr_18_other_weapon_robbery,clr_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,clr_18_strong_arm_robbery,clr_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,clr_18_theft_total,clr_theft_total,unfound_theft_total,act_auto_theft,clr_18_auto_theft,clr_auto_theft,unfound_auto_theft,act_other_vhc_theft,clr_18_other_vhc_theft,clr_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,clr_18_truck_bus_theft,clr_truck_bus_theft,unfound_truck_bus_theft
Baileyville Police Department,1977,Maine,2500,ME01509,111,12,55,0,0,0,0,0,35,6,34,0,4,0,4,0,2,0,2,0,0,0,0,0,19,5,18,0,10,1,10,0,35,1,5,0,2,0,0,0,31,1,5,0,2,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,35,3,11,0,1,0,1,0,2,2,2,0,1,0,1,0
Baileyville Police Department,1978,Maine,2602,ME01509,107,11,30,0,0,0,0,0,16,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,13,0,3,0,3,0,36,3,3,0,2,0,0,0,30,3,3,0,4,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,8,0,3,1,2,0,1,0,1,0,0,0,0,0
Baileyville Police Department,1979,Maine,2607,ME01509,147,14,50,0,0,0,0,0,27,5,26,0,0,0,0,0,2,0,2,0,0,0,0,0,25,5,24,0,0,0,0,0,36,4,6,0,3,0,0,0,30,4,5,0,3,0,1,0,8,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4,16,0,6,0,1,0,1,1,1,0,1,0,0,0
Baileyville Police Department,1980,Maine,2185,ME01509,109,7,38,0,0,0,0,0,21,2,19,0,1,0,1,0,2,0,2,0,0,0,0,0,18,2,16,0,0,0,0,0,39,3,4,0,3,0,0,0,24,2,3,0,12,1,1,0,8,1,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,10,0,6,1,3,0,1,0,1,0,1,0,0,0
Baileyville Police Department,1981,Maine,2201,ME01509,125,5,33,0,0,0,0,0,17,2,16,0,0,0,0,0,0,0,0,0,1,0,1,0,16,2,15,0,0,0,0,0,35,1,4,0,3,0,0,0,27,1,4,0,5,0,0,0,9,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,10,0,7,0,2,0,2,1,1,0,0,0,0,0
Baileyville Police Department,1982,Maine,2203,ME01509,66,7,25,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,1,0,1,0,24,2,7,0,1,0,0,0,19,1,4,0,4,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,27,3,5,0,0,0,1,0,2,0,0,0,0,0,0,0
Baileyville Police Department,1983,Maine,2228,ME01509,56,2,19,2,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,14,0,3,1,1,0,0,0,10,0,2,1,3,0,1,0,5,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,32,0,9,0,3,1,2,1,1,0,0,0,1,0,0,0
Baileyville Police Department,1984,Maine,2233,ME01509,66,7,35,0,0,0,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,1,0,1,0,25,2,11,0,3,0,0,0,15,1,10,0,7,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,12,0,2,0,2,0,0,0,0,0,0,0,0,0
Baileyville Police Department,1985,Maine,2248,ME01509,43,1,16,0,0,0,0,0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,9,0,0,0,0,0,12,0,1,0,1,0,0,0,7,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0
Baileyville Police Department,1986,Maine,2177,ME01509,28,1,3,5,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,11,0,0,2,1,0,0,0,9,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0
